Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
24	0	-61.84476	-81.08597	19.24122	34.96511	3.66954	0.0656918	0.108878	0.154838	0.14462	0.140243	0.105528	0.0278272	0.0376293	0.06570826	0.02457478	0.150479	0.0183103	0.050768	0.0622647	0.156785	0.0448935	0.135665	0.0380257	0.089635	0.00573237	0.0641792	0.00566804	0.0175351	0.0937261	0.0663332	0.04918252	34.96511	0.435233	0.762946	1.08429	1.71753	0.0383395	0.446447	0.00896372	0.0859006	0.366857	0.0534927	0.0737573	0.6668156
25	0	-65.29243	-81.1933	15.90087	9.914253	1.647982	0.0971868	0.0817819	0.378765	0.103897	0.138327	0.32125	0.436981	0.305085	0.1852304	0.01242017	0.241794	0.113619	0.00543281	0.0462274	0.0591645	0.169192	0.00721783	0.0152776	0.00987115	0.0125767	0.0198482	0.139844	0.00872845	0.137454	0.0137532	0.06025149	9.914253	0.247304	0.611468	1.05805	2.08318	0.0174062	0.452199	0.0050982	0.0899451	0.376279	0.0590723	0.07267166	0.8290919
26	0	-64.54434	-80.48681	15.94248	20.85637	2.19295	0.286758	0.0895532	0.144624	0.135504	0.0278341	0.708189	0.222745	0.0938306	0.1920801	0.06741676	0.0924466	0.00294719	0.067369	0.159115	0.0971513	0.0666058	0.116477	0.00361827	0.0867556	0.0340588	0.0220261	0.0720539	0.00472141	0.160994	0.0136604	0.008488035	20.85637	0.315268	0.674079	1.07414	1.93651	0.0348711	0.488998	0.000628576	0.0828638	0.323706	0.0689319	0.0759048	0.1118248
27	0	-56.86945	-84.29899	27.42954	22.88789	1.9713	0.0018381	0.0403993	0.0061811	0.0104426	0.0395137	0.00725195	0.1931	0.0112377	0.03027777	0.09930355	0.219334	0.016935	0.00357398	0.068372	0.00467212	0.0375625	0.0229835	0.0908353	0.0450465	0.169078	0.0555528	0.0116273	0.00289494	0.152593	0.098939	0.01602455	22.88789	0.289825	0.651927	1.06925	1.98899	0.0178148	0.51988	0.0182521	0.230264	0.186542	0.0272469	0.1153281	0.1389475
28	0	-70.74047	-85.70723	14.96675	22.1971	1.768941	0.241381	0.0647219	0.316859	0.173527	0.0384554	0.482277	0.465666	0.0255894	0.1517788	0.0549596	0.213509	0.0669662	0.0198767	0.0923404	0.118644	0.091396	0.014516	0.0544824	0.119493	0.0285271	0.00472951	0.0634154	0.0249697	0.0584758	0.0286585	0.00688362	22.1971	0.264042	0.627956	1.06297	2.04504	0.0320015	0.515406	0.0065092	0.15408	0.246412	0.0455923	0.06184322	0.1113076
29	0	-76.53543	-86.47993	9.944504	64.71107	1.88982	0.0628109	0.011557	0.0509716	0.128812	0.103433	0.647472	0.271686	0.487114	0.3615392	0.02172756	0.239943	0.164412	0.185267	0.0263209	0.0158342	0.0273422	0.032555	0.00228581	0.00218542	0.0465723	0.00208194	0.0350025	0.0593667	0.0937001	0.0671317	0.01742266	64.71107	0.279758	0.642761	1.06697	2.01051	0.0407758	0.464717	0.0373729	0.138927	0.278923	0.039284	0.03915022	0.4450208
30	0	-57.15152	-84.82358	27.67206	66.18252	2.271683	0.00132809	0.05448	0.052332	0.0702975	0.0925739	0.0366055	0.010423	0.0176174	0.04195881	0.0130048	0.111254	0.00325222	0.091263	0.140399	0.00451975	0.0560687	0.0363771	0.0320015	0.028114	0.0268412	0.0244842	0.373709	0.00729543	0.0422035	0.022217	0.002330521	66.18252	0.323683	0.681109	1.07551	1.9197	0.0743656	0.349092	0.0160208	0.0902076	0.373779	0.096535	0.01533532	0.1519708
31	0	-56.22984	-84.96553	28.73569	27.82454	2.99425	0.00500437	0.00516182	0.0257563	0.0160305	0.0254309	0.0320574	0.0954223	0.00872316	0.01832653	0.09629419	0.0865251	0.00451806	0.0662449	0.043824	0.0256903	0.00666006	0.131553	0.138616	0.119868	0.00266201	0.100648	0.0105912	0.0379365	0.136833	0.0878303	0.0284218	27.82454	0.388817	0.731209	1.08249	1.79749	0.0331946	0.325218	0.00793221	0.171837	0.418128	0.0436898	0.124716	0.2278922
32	0	-65.1094	-84.81261	19.70321	32.72681	3.427121	0.0235332	0.0135606	0.0581046	0.218758	0.0256433	0.000261363	0.129909	0.350864	0.09333589	0.005107464	0.0105445	0.0487359	0.114716	0.0274853	0.162411	0.0120772	0.0227819	0.0135154	0.0767944	0.0127219	0.191838	0.0115388	0.0137004	0.119886	0.161254	0.03229257	32.72681	0.419825	0.752734	1.08394	1.7435	0.048521	0.50778	0.0316108	0.0989558	0.254083	0.0590494	0.03740003	0.8634369
33	0	-62.8848	-89.37822	26.49342	101.1691	1.00942	0.0800296	0.00198436	0.0309674	0.00699839	0.0400623	0.0849157	0.0576456	0.0113446	0.06387535	0.02119769	0.147546	0.130793	0.0757125	0.0151741	0.219703	0.016059	0.0180101	0.0220119	0.125655	0.0435479	0.0521334	0.0868681	0.00416631	0.0335446	0.00907431	0.000909838	101.1691	0.13883	0.479565	1.00154	2.38006	0.0259676	0.543261	0.0104502	0.200333	0.165256	0.0547321	0.02210753	0.04115511
