Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
30	0	-258.0994	-247.32	-10.77948	39.2394	1.783629	0.09530962	0.046185	0.0576145	0.078257	0.161096	0.00290592	0.0210768	0.0443011	0.0507153	0.0241517	0.105433	0.11098	0.069092	0.0123095	0.153898	0.0622781	0.0458916	0.0482084	39.2394	0.266003	0.629839	1.0635	2.04066	0.24286	0.226764	0.118174	0.0717661	0.183271	0.157165	0.0943934	0.5107179
31	0	-263.1899	-253.3466	-9.843298	12.66136	7.062752	0.2160524	0.08759862	0.0334914	0.005872	0.170237	0.0103852	0.00924488	0.0132409	0.0636013	0.00836865	0.0729799	0.0046507	0.0612278	0.0377354	0.290878	0.167808	0.0502791	0.01001963	12.66136	0.570255	0.84104	1.07881	1.5099	0.319291	0.239358	0.110328	0.105958	0.125166	0.0998995	0.09761826	0.102641
32	0	-270.6139	-257.0724	-13.54146	77.85073	1.149129	0.1170431	0.03955726	0.0923844	0.0872248	0.102276	0.00152622	0.0996146	0.0384388	0.172949	0.0389702	0.0122444	0.0295051	0.00427289	0.128796	0.0967744	0.0265834	0.0684393	0.0106385	77.85073	0.165713	0.517405	1.0209	2.29598	0.279777	0.162255	0.0681219	0.0919474	0.211014	0.186886	0.05019576	0.2119402
33	0	-268.1612	-250.0665	-18.09476	123.4305	1.426631	0.1495384	-0.001583619	0.0158242	0.0233966	0.127877	0.0110831	0.0834333	0.00830693	0.0881333	0.00260697	0.211643	0.144865	0.0366627	0.0444023	0.10406	0.0464612	0.051245	0.04727538	123.4305	0.213763	0.57587	1.04581	2.16456	0.290278	0.246642	0.0911693	0.119033	0.126741	0.126136	0.04569176	1.034659
34	0	-274.1634	-249.7828	-24.38063	472.3809	1.824152	0.0630858	0.007600347	0.0714023	0.00980538	0.177122	0.0357696	0.0337064	0.0816305	0.00282701	0.019646	0.0055676	0.156907	0.0728897	0.0154038	0.237331	0.0168391	0.0631533	0.01535578	472.3809	0.27134	0.634909	1.0649	2.02886	0.249753	0.138773	0.075436	0.0748352	0.202501	0.258702	0.02295612	0.6689185
35	0	-266.5961	-252.6437	-13.95237	80.33448	3.008379	0.03522555	0.01215952	0.0236132	0.071149	0.069946	0.0216618	0.0827621	0.010111	0.0993402	0.0430099	0.139212	0.0741396	0.11983	0.0576371	0.0210563	0.0947148	0.0718168	0.01234459	80.33448	0.389909	0.731991	1.08256	1.79554	0.251585	0.248039	0.126082	0.13477	0.147037	0.0924874	0.02450411	0.5037763
36	0	-271.6622	-253.0912	-18.57098	122.2822	3.826909	0.08392715	0.01006329	0.0209714	0.00896423	0.0894524	0.113447	0.0514406	0.0113592	0.0747499	0.0208566	0.00878434	0.0391288	0.130778	0.0032344	0.150443	0.229093	0.0472973	0.02257864	122.2822	0.444593	0.769002	1.08439	1.70202	0.25093	0.191546	0.0867179	0.105343	0.222839	0.142624	0.03264193	0.6917066
37	0	-261.0044	-250.8319	-10.17251	20.36331	3.47707	0.2019216	0.1250068	0.00722284	0.0314221	0.182962	0.163427	0.0792331	0.0358032	0.0721395	0.0246777	0.0429242	0.0357593	0.0199912	0.00450028	0.184391	0.0107214	0.104825	0.009486223	20.36331	0.423104	0.754933	1.08404	1.73793	0.327579	0.125108	0.102508	0.0881809	0.226098	0.130526	0.134493	0.07053321
38	0	-263.2125	-250.586	-12.62643	48.82071	3.600189	0.05035821	0.0393247	0.0175849	0.233957	0.104429	0.00848153	0.00134342	0.0589226	0.0182499	0.00297773	0.0208904	0.0206019	0.307668	0.00307318	0.114698	0.0302216	0.0569006	0.002548425	48.82071	0.430952	0.76014	1.08422	1.72469	0.260267	0.198407	0.0817726	0.106683	0.193327	0.159543	0.04187312	0.06086064
39	0	-270.0596	-257.4315	-12.62813	55.83516	1.718249	0.1616168	0.008501005	0.0119759	0.0642496	0.233271	0.114852	0.0536902	0.0437953	0.156904	0.0326116	0.00826058	0.0160439	0.105916	0.115141	0.000434062	0.0363099	0.0065449	0.0159689	55.83516	0.257155	0.621266	1.06103	2.06055	0.295913	0.204072	0.0950287	0.0810459	0.175332	0.148608	0.0244699	0.6525934
