Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
3900	-255.5361	-246.5428	-8.993295	26.48295	2.542972	0.1874577	0.04213428	0.0338608	0.119643	0.0708013	0.0182468	0.0455616	0.00765705	0.00598875	0.000126991	0.251392	0.136378	0.155386	0.0266012	0.099141	0.0255877	0.00362927	0.03180864	26.48295	0.350493	0.702609	1.0791	1.8678	0.190917	0.231944	0.16502	0.0939675	0.197089	0.121062	0.07394292	0.4301783
4000	-258.818	-242.3849	-16.43307	87.28923	2.941051	0.02096462	0.01808258	0.0707107	0.0728302	0.0417448	0.0165975	0.0186247	0.0602261	0.0280151	0.00212392	0.318962	0.0415989	0.09539	0.00689146	0.15438	0.0416224	0.0302823	0.007656203	87.28923	0.38465	0.728211	1.08221	1.80493	0.209958	0.180165	0.121577	0.133558	0.224971	0.129769	0.02573878	0.2974579
4100	-264.731	-250.8901	-13.84093	26.35035	4.551041	0.07993777	0.01052447	0.0189558	0.386565	0.00164682	0.00897176	0.00483644	0.0655972	0.0187015	0.00920088	0.0949893	0.0710075	0.238122	0.0115328	0.0300129	0.0273924	0.0124683	0.01902007	26.35035	0.48229	0.79234	1.08398	1.64139	0.327837	0.225158	0.0550038	0.0866346	0.170139	0.135227	0.02954454	0.6437761
4200	-256.0005	-246.4199	-9.580609	40.76684	1.636841	0.1546228	0.03411013	0.00218302	0.233676	0.0718389	0.0269513	0.000164761	0.0202505	0.000399989	0.00657431	0.133655	0.00510154	0.1364	0.0135952	0.145181	0.177216	0.0268113	0.01666338	40.76684	0.245709	0.609855	1.05754	2.0869	0.263448	0.236505	0.0567265	0.117012	0.241596	0.084712	0.05077351	0.3281904
4300	-275.1176	-253.7877	-21.32995	243.448	1.018138	0.01818151	0.006645478	0.106426	0.0357375	0.13721	0.0176552	0.0358728	0.0149611	0.00728977	0.0203746	0.0749273	0.182499	0.0567171	0.0367059	0.153616	0.0891407	0.0308671	0.003808685	243.448	0.140559	0.482137	1.00294	2.37436	0.218787	0.113022	0.169606	0.123564	0.197358	0.177663	0.01045416	0.3643223
4400	-253.0001	-249.4145	-3.585599	10.0078	2.557751	0.2610476	0.1314642	0.0171261	0.132756	0.0381196	0.00975188	0.0240591	0.025638	0.0518691	0.0142227	0.163953	0.0200863	0.162491	0.157601	0.0592396	0.122702	0.000385478	0.01232381	10.0078	0.351864	0.703673	1.07925	1.86521	0.200772	0.139473	0.148432	0.0916256	0.282756	0.136941	0.1437881	0.08570819
4500	-268.2655	-251.6693	-16.59623	79.50971	1.978093	0.03439654	0.0289411	0.0225383	0.00230795	0.20117	0.0086733	0.0571344	0.00646099	0.0147251	0.0102385	0.139583	0.0910584	0.218036	0.00358892	0.183035	0.0364017	0.00504786	0.01388396	79.50971	0.290646	0.652664	1.06943	1.98726	0.263916	0.227787	0.0982906	0.0865383	0.189614	0.133853	0.04282506	0.3242017
4600	-260.0655	-255.1151	-4.950374	14.67243	0.8763212	0.194175	0.0875735	0.0468783	0.0166015	0.156729	0.0161807	0.0064728	0.063302	0.0869061	0.00284126	0.115012	0.137238	0.047502	0.00793713	0.191924	0.0609916	0.0434835	0.006309626	14.67243	0.111666	0.436139	0.976049	2.47615	0.218863	0.224888	0.148407	0.0715015	0.16673	0.169611	0.09388312	0.06720725
4700	-256.3594	-246.7102	-9.649135	43.07372	0.9973668	0.08550131	0.01389249	0.0444252	0.127312	0.00591975	0.0051975	0.0751402	0.00802385	0.0209978	0.0182084	0.3596	0.0569113	0.128001	0.0176714	0.106254	0.0129448	0.0133926	0.03083193	43.07372	0.136428	0.475959	0.999562	2.38805	0.178446	0.278868	0.145355	0.0845315	0.201469	0.111331	0.04472442	0.6893758
4800	-272.7687	-255.8149	-16.95381	144.9907	1.985848	0.02298408	0.01621879	0.0460213	0.107381	0.0121958	0.0205893	0.0229114	0.131921	0.0765565	0.0332146	0.121833	0.0389997	0.0312341	0.0174595	0.0505491	0.28326	0.00587344	0.0001029771	144.9907	0.29158	0.6535	1.06963	1.98529	0.190446	0.249556	0.080544	0.0975007	0.244276	0.137678	0.01632176	0.00630919
