Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-254.9733	-249.9112	-5.062136	245.3345	1.104153	0.115111	0.115611	0.0746647	0.031622	0.0260389	0.318436	0.119717	0.234333	0.00827013	0.153979	0.0935844	0.00880709	0.107651	0.248904	0.207469	0.489398	0.1819604	0.01201628	0.0332083	0.00760977	0.105816	0.0551804	0.0851538	0.0322775	0.0281744	0.0431361	0.00120176	0.267848	0.0513825	0.140583	0.116028	0.0111591	0.0212413	0.001248014	245.3345	0.157254	0.505965	1.01532	2.32146	0.238907	0.179509	0.130713	0.111332	0.230223	0.109317	0.01326429	0.09408828
21	0	-230.2103	-243.8363	13.62601	41.42225	3.407792	0.0161367	0.236186	0.0536092	0.156343	0.00135541	0.00369664	0.0269858	0.00995061	0.120267	0.0354316	0.183857	0.00902058	0.024012	0.0665651	0.0269015	0.0375648	0.103456	0.04212378	0.104458	0.0482645	0.0581089	0.0277098	0.104411	0.0386969	0.135713	0.00542812	0.00441426	0.0822559	0.0457082	0.0284757	0.174411	0.0569514	0.0849936	0.02723473	41.42225	0.41854	0.751869	1.0839	1.74569	0.259488	0.209261	0.127401	0.0858085	0.178258	0.139784	0.06935851	0.392666
22	0	-249.5577	-254.994	5.436327	775.3507	1.207455	0.0127194	0.0990636	0.187461	0.106222	0.0636755	0.00172582	0.0239426	0.0355348	0.0680527	0.00566894	0.0102492	0.0810537	0.00183437	0.0184522	0.0210579	0.0355613	0.05483089	0.0006154917	0.0277486	0.061278	0.175245	0.0126187	0.00154783	0.0896221	0.00153482	0.000806428	0.0756433	0.0203729	0.209013	0.00429175	0.0984301	0.192122	0.0297258	0.005107865	775.3507	0.176401	0.531316	1.02737	2.26491	0.235051	0.223947	0.0651172	0.128749	0.122637	0.224498	0.005723357	0.8924597
23	0	-268.648	-251.7044	-16.94357	138.0219	1.729879	0.0184243	0.129836	0.187389	0.39164	0.0998117	0.0840979	1.36989	0.153765	0.0210344	0.0741575	0.686662	0.327194	0.224785	0.970093	0.0314114	0.164289	0.2727409	0.004713064	0.0164345	0.0181745	0.146137	0.163319	0.0406668	0.0339009	0.0329954	0.20571	0.00700523	0.0118943	0.00829545	0.00326284	0.250689	0.0194033	0.0421111	0.0368156	138.0219	0.258751	0.622828	1.06149	2.05693	0.289349	0.203843	0.134152	0.0748198	0.134151	0.163685	0.04152867	0.8865106
24	0	-250.1973	-250.6704	0.473071	9.341103	1.571693	0.00252294	0.00452289	0.370477	0.269884	0.0262787	0.532122	0.0826367	0.30859	0.0188108	0.605172	0.493793	0.0728561	0.171939	0.0328022	1.44133	0.0789769	0.2685717	0.1611019	0.0544055	0.0267636	0.1515	0.0695463	0.0637092	0.0112627	0.0936545	0.0812812	0.0373358	0.00254305	0.00416224	0.224178	0.0641805	0.0362202	0.0792568	0.003621683	9.341103	0.236188	0.60007	1.05437	2.10937	0.268076	0.240141	0.142464	0.0694814	0.165677	0.11416	0.1647236	0.02198642
25	0	-264.5078	-248.8949	-15.61283	14.45524	1.236481	0.846186	0.4596	0.768682	0.28091	0.037157	0.0998646	0.52706	0.480262	0.300737	0.719227	1.62914	0.72938	0.0281464	0.900538	0.153531	0.810798	0.509188	0.001040763	0.0151715	0.00991978	0.188661	0.017992	0.0537436	0.0398465	0.122698	0.0232048	0.115679	0.0370007	0.0199597	0.152441	0.115752	0.0378377	0.0500918	0.07857973	14.45524	0.181602	0.53788	1.0303	2.25021	0.270047	0.202005	0.0816518	0.097527	0.24103	0.10774	0.07962049	0.9869284
26	0	-249.5254	-253.6362	4.110788	46.7102	2.374689	0.103195	0.174977	0.0475301	0.00663375	0.0598387	0.0190329	0.388057	0.0661542	0.16875	0.0157329	0.0628668	0.402513	0.0305967	0.0195507	0.142244	0.233228	0.1404019	0.04274668	0.0864796	0.0274084	0.184683	0.00666128	0.0477894	0.0110681	0.0888733	0.0512235	0.0469381	0.0327643	0.0282892	0.0834588	0.145496	0.0159785	0.142888	0.009381256	46.7102	0.334245	0.689736	1.07705	1.89896	0.288526	0.140566	0.0903473	0.0921063	0.254647	0.133807	0.05212793	0.179966
27	0	-241.5172	-245.809	4.291821	13.68485	1.866253	0.297137	0.0998618	0.0578835	0.0594426	0.528443	0.27622	0.0494085	0.642533	0.00977584	0.0641352	0.251761	0.50004	0.129742	0.426505	0.00952183	0.174187	0.1970014	0.1100776	0.155373	0.0395469	0.0673632	0.0906814	0.0745683	0.0377922	0.117839	0.0121508	0.0253529	0.0119514	0.0211179	0.0206155	0.160334	0.0309734	0.13434	0.01048024	13.68485	0.276769	0.639993	1.06625	2.01699	0.257969	0.153051	0.0951345	0.133053	0.172431	0.188361	0.1205578	0.08693128
28	0	-233.4916	-245.7777	12.28606	46.31116	5.323278	0.0130285	0.00639927	0.158443	0.00349461	0.0323451	0.14821	0.0113908	0.130768	0.0135779	0.110943	0.0145715	0.00693931	0.0425338	0.0509784	0.0351469	0.127225	0.06992544	0.09062343	0.0353883	0.03549	0.067995	0.0180497	0.0388341	0.00865163	0.0227636	0.0374818	0.0894834	0.0670478	0.100323	0.0148601	0.226072	0.0976668	0.139892	0.001821425	46.31116	0.514974	0.811315	1.0827	1.59101	0.250576	0.205888	0.102739	0.10204	0.180353	0.158404	0.09244485	0.01970283
29	0	-224.0819	-248.8117	24.72981	77.51248	2.101609	0.00768902	0.0184724	0.077484	0.0117999	0.0261264	0.163105	0.0611923	0.0329471	0.00458814	0.0268033	0.0173022	0.00395342	0.00851023	0.0232765	0.0192723	0.0244786	0.03674339	0.02988827	0.0403789	0.118799	0.251661	0.0286211	0.0459677	0.0038362	0.102455	0.0717457	0.0377044	0.00673817	0.0730185	0.0151011	0.0818023	0.0658702	0.0563006	0.002435971	77.51248	0.305109	0.665401	1.07234	1.95715	0.344371	0.175394	0.0678046	0.0473516	0.161054	0.204025	0.03232424	0.07536051
