Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
22	0	-330.357	-311.5609	-18.79618	8.791704	2.683544	0.0683692	0.0593957	0.295972	0.0354693	0.139445	0.0132366	0.113734	0.0468145	0.170082	0.0213452	0.213456	0.0400549	0.0652659	0.476873	0.14848	0.197998	0.0503492	0.000188794	0.105639	0.0618187	0.119438	0.0787718	0.1091253	0.1673613	0.0877279	0.0949983	0.0309266	0.0528907	0.0286094	0.0356621	0.0428317	0.0876898	0.00670704	0.110227	0.216206	0.0299079	0.0361684	0.113131	0.0263164	0.1955078	0	8.980906	0.08110739	0.363195	0.712351	1.08044	1.84402	0.16228	0.370887	0.0883803	0.131988	0.112655	0.13381	0.362869	0.5387833
23	0	-338.8737	-308.0918	-30.78189	5.347383	1.248431	0.598042	0.784666	0.173486	0.0689485	0.0679993	0.011226	0.329581	0.45913	0.131896	0.00751645	0.0840178	0.0933329	0.56347	0.537738	0.335684	0.403267	0.816352	0.0899483	0.59901	0.170052	0.0188251	0.472524	0.3061023	0.05463349	0.112175	0.0114296	0.0436879	0.0252851	0.0566233	0.0437884	0.0847219	0.0102699	0.045033	0.165979	0.132937	0.134345	0.00861384	0.084245	0.0408658	0.2645915	1	10.02312	0.1630469	0.18372	0.540518	1.03146	2.2443	0.240186	0.232136	0.140059	0.0850275	0.172363	0.130229	0.3192249	0.8288558
24	0	-338.72	-308.0439	-30.67614	6.510554	1.679086	0.407642	0.25562	0.404406	0.147053	0.0942679	0.00929441	0.239231	0.046131	0.14379	0.131638	0.751899	0.0134278	0.169567	0.0550908	0.0710164	0.916724	0.0117858	0.714277	0.360667	0.284481	0.217063	0.647745	0.3302969	-0.04590175	0.0722994	0.0313928	0.12259	0.0703111	0.00803165	0.0598935	0.0855932	0.000913889	0.00489014	0.025065	0.0777527	0.0235077	0.307827	0.0971494	0.0127822	0.3991322	1	7.433946	0.1048811	0.251709	0.615884	1.05941	2.073	0.206158	0.290878	0.0506923	0.0831766	0.211558	0.157538	0.3532305	1.129948
25	0	-341.1771	-307.4839	-33.69323	5.240773	2.845979	0.559556	0.0806271	0.318235	0.429833	0.0287367	0.0225963	0.124229	1.72693	0.0297652	0.0898884	0.375891	0.0352065	0.291569	0.68002	0.37885	0.0838704	0.900643	0.0625016	0.262864	0.234902	0.4942	0.510049	0.399828	0.2317154	0.0967784	0.0203308	0.0515207	0.0767602	0.00492401	0.0548979	0.010004	0.0381067	0.00240695	0.137092	0.13674	0.030901	0.189803	0.134184	0.0155504	0.4408283	3	5.595805	0.1647218	0.376984	0.722627	1.08164	1.81875	0.219923	0.245615	0.111268	0.146424	0.129028	0.147743	0.6725437	0.6554642
26	0	-344.9528	-312.0373	-32.91552	5.760605	3.074897	0.0640209	0.0872101	0.080546	0.167735	0.456486	0.420721	0.0672262	0.250217	0.068	0.618716	0.055647	0.239574	0.272986	1.09271	0.806446	0.498984	0.108886	0.325837	0.0333518	0.41588	0.65137	0.69239	0.3334185	0.2975956	0.119976	0.0568199	0.0692964	0.055673	0.021333	0.0074828	0.086818	0.0631113	0.0397888	0.0119321	0.140757	0.0702375	0.174151	0.0273028	0.0553198	0.3678725	3	7.021613	0.2030532	0.394974	0.735592	1.08286	1.78657	0.207717	0.225495	0.171415	0.172201	0.113573	0.109599	0.6654681	0.5528026
27	0	-331.7042	-309.4283	-22.27592	8.752741	0.9207752	0.158761	0.118092	0.00891274	0.140495	0.112141	0.0138717	0.245448	0.191139	0.0892811	0.0400229	0.244299	0.0722338	0.573519	0.0544997	0.13901	0.105075	0.0559816	0.0817593	0.0920078	0.501716	0.11381	0.0749969	0.1467315	0.200884	0.0897646	0.0405169	0.0498002	0.0143349	0.0279537	0.00384394	0.116048	0.0116126	0.0909787	0.0246102	0.164081	0.0927917	0.209414	0.0600763	0.0041734	0.1928799	2	9.949236	0.1171783	0.120888	0.451571	0.985523	2.44202	0.159953	0.327577	0.140548	0.0949533	0.157619	0.119349	0.3937639	0.4898364
28	0	-346.0418	-307.6307	-38.41112	6.896487	1.994856	0.493417	0.154419	0.686509	0.151834	0.107414	0.102578	1.13445	0.427456	0.544242	0.173814	0.318278	0.351315	1.14725	0.123582	0.286523	0.159517	0.924027	0.170054	0.447426	0.103032	0.123245	0.0381132	0.4128424	0.02999569	0.0740974	0.0662477	0.0833912	0.0266841	0.0656431	0.143771	0.0518688	0.050453	0.0168865	0.228281	0.126981	0.019205	0.0103932	0.0343296	0.00176809	0.2577362	2	13.40009	0.1941296	0.29266	0.654466	1.06986	1.98301	0.252168	0.279105	0.093348	0.0717364	0.152533	0.15111	0.2877319	0.8957513
29	0	-335.6438	-310.0678	-25.576	6.514285	2.88385	0.157809	0.247625	0.095613	0.198915	0.0205546	0.0322521	0.276549	0.454752	0.171229	0.279115	0.070967	0.0204811	0.412822	0.118822	0.622435	0.249555	0.482191	0.0205029	0.0814193	0.507252	0.0706207	0.298439	0.1979361	0.07054565	0.0873632	0.0186155	0.0789044	0.00275625	0.0413163	0.0307579	0.0707366	0.125794	0.00317647	0.281211	0.0381237	0.0167521	0.0331635	0.137441	0.0338884	0.2957959	2	8.365279	0.1640654	0.380072	0.724887	1.08188	1.81316	0.207847	0.200868	0.145082	0.0937727	0.177652	0.174778	0.3663416	0.807432
30	0	-350.3761	-317.1545	-33.22165	5.355682	4.559604	0.162953	0.452236	1.79845	0.244344	1.11012	0.294867	0.299226	0.293688	0.0165348	0.0544875	0.259203	0.0956531	0.0926355	0.241973	0.162654	0.0866409	0.0378977	0.0198569	0.576338	0.100517	0.0463722	0.196132	0.3202276	0.1053116	0.106784	0.015169	0.0931159	0.0133121	0.0677425	0.0149411	0.162818	0.100578	0.0195676	0.0129568	0.102328	0.0754265	0.0495841	0.00680989	0.158867	0.2248826	2	5.503728	0.1757151	0.48269	0.79258	1.08397	1.64076	0.144489	0.268805	0.225676	0.0639083	0.168885	0.128236	0.3301941	0.6810617
31	0	-347.0024	-312.3851	-34.61731	5.946916	2.532941	0.259235	0.196117	0.209448	0.0589446	0.0798619	0.0282009	0.511308	0.147185	0.373222	0.122503	0.615893	0.00299062	0.113114	0.113459	1.68444	0.590456	0.261765	0.0813331	0.967402	0.526129	0.792372	0.168144	0.3427156	0.199364	0.0337837	0.16175	0.109458	0.0121906	0.0157963	0.0723017	0.00679558	0.0258049	0.0325366	0.158953	0.064182	0.00992422	0.0292775	0.0759887	0.191258	0.2202849	4	6.571278	0.2579686	0.349558	0.70188	1.07899	1.86957	0.17365	0.382823	0.0992463	0.121146	0.129737	0.093398	0.4196489	0.5249267
