Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-117.7969	-126.7791	8.982226	47.06631	0.6895488	0.0017262	0.00736889	0.010933	0.00844672	0.00786332	0.0163775	0.0189099	0.0156157	0.00873036	0.00837019	0.00273254	0.00123354	0.0215167	0.0259447	0.00546658	0.00297421	0.00219114	0.000400669	0.0032627	0.00139617	0.0129701	0.0217677	0.01315418	-0.008848302	0.0814486	0.126705	0.0647889	0.0672227	0.0886341	0.0465157	0.0424847	0.000792138	0.12013	0.05692	0.0568831	0.00688303	0.0975622	0.0184623	0.124567	0.1761719	1	55.21296	0.02873286	0.0719574	0.358557	0.920933	2.64855	0.0756604	0.216225	0.0258203	0.51423	0.0224192	0.145645	0.1673236	1.052881
21	0	-136.3001	-123.032	-13.26804	19.24621	1.362165	0.0114022	0.0260635	0.00860997	0.0107318	0.0408537	0.0408705	0.0694532	0.108361	0.00671806	0.0151355	0.000491201	0.0112897	0.0170357	0.135959	0.0266168	0.00342421	0.0570743	0.0120144	0.0477974	0.000383444	0.12625	0.00620424	0.0444013	-0.01555954	0.00568526	0.177375	0.0329048	0.040954	0.0240389	0.0117514	0.0527588	0.0785572	0.140482	0.193507	0.0343961	0.0818221	0.0298858	0.0158231	0.0800587	0.1648802	1	55.02987	0.08069477	0.203223	0.563881	1.04119	2.19171	0.0879033	0.132136	0.083936	0.6177	0.0343563	0.0439684	0.1493207	1.104202
22	0	-131.5117	-128.8814	-2.630207	8.872844	1.077637	0.0538006	0.0453619	0.00283782	0.00138771	0.0235337	0.0189551	0.0266565	0.116544	0.042953	0.0322244	0.0657095	0.00272157	0.0666099	0.00804406	0.00282513	0.0381454	0.00975052	0.0694372	0.0589072	0.0190147	0.0429527	0.00527954	0.03012792	0.07006196	0.106575	0.249739	0.222347	0.0129256	0.0542987	0.016732	0.0642515	0.00681217	0.032567	0.0709763	0.0248022	0.0579104	0.00319875	0.0374984	0.039366	0.2719106	3	51.01824	0.04207573	0.152179	0.498905	1.01176	2.33716	0.0340523	0.261801	0.0569553	0.414652	0.133906	0.0986332	0.3419725	0.795124
23	0	-110.4099	-119.7187	9.308786	25.11012	1.260973	0.0802542	0.00812885	0.0070885	0.000269876	0.00206281	0.0106717	0.00240002	0.00505728	0.0219541	0.0111023	0.0045765	0.0300359	0.00405448	0.0138061	0.0127911	0.00166213	0.00522201	0.00376353	0.0094738	0.0160322	0.0540902	0.0235648	0.01304779	0.05022133	0.144411	0.152028	0.0840175	0.00933209	0.0422624	0.0676578	0.085353	0.00445293	0.0133894	0.145872	0.0679568	0.0199554	0.0109931	0.0657859	0.0865324	0.4222751	3	51.39824	0.03044225	0.185929	0.543246	1.03265	2.23818	0.15089	0.201192	0.0569605	0.460989	0.0535941	0.0763741	0.4724964	0.8937107
24	0	-135.8197	-119.5711	-16.24868	29.39682	1.222219	0.0651815	0.0200107	0.000360083	0.0414575	0.00608876	0.213754	0.00607314	0.00731115	0.0132196	0.119907	0.0434815	0.138839	0.00286692	0.00355345	0.0873492	0.085832	0.00997711	0.00405048	0.0179677	0.0686498	0.043452	0.12948	0.05080902	0.05753517	0.0312837	0.0663963	0.168682	0.0615586	0.00172605	0.00465702	0.0444892	0.00637703	0.0145994	0.286116	0.0463935	0.142039	0.01681	0.0193279	0.089544	0.2968624	1	51.19461	0.05569293	0.179056	0.534683	1.02888	2.25738	0.103094	0.133881	0.0404781	0.596999	0.0357281	0.0898206	0.3543976	0.8376536
25	0	-127.2958	-130.6619	3.366145	12.52674	2.682266	0.0168602	0.0215118	0.00918081	0.0584435	0.00800226	0.0229412	0.0444968	0.0180237	0.0459173	0.0193403	0.0400123	0.0264217	0.0090738	0.00150562	0.0588797	0.016775	0.00140955	0.0147399	0.00365239	0.0514101	0.067088	0.00382692	0.02390396	-0.01374111	0.0166617	0.0647351	0.106061	0.00405436	0.0250362	0.0357368	0.0871776	0.0433933	0.0294821	0.121857	0.164765	0.0409545	0.0781954	0.107232	0.0746585	0.1740077	2	50.68587	0.08053262	0.363083	0.712266	1.08042	1.84423	0.197258	0.111629	0.0869735	0.489556	0.0729769	0.0416073	0.1602666	1.085739
26	0	-111.6348	-120.8299	9.195107	23.17231	0.813262	0.00865641	0.00848289	0.00489652	0.00449293	0.00419417	0.0112355	0.00942201	0.00781379	0.00717033	0.0558904	0.0102899	0.0083419	0.0563849	0.0140977	0.0035296	0.00777154	0.023485	0.00959383	0.0307005	0.0264408	0.0112958	0.016663	0.01447296	0.04950896	0.0130351	0.0640279	0.108587	0.0716521	0.0160338	0.0503544	0.16334	0.0119011	0.0350978	0.146406	0.132038	0.0453029	0.0404041	0.0928297	0.00898996	0.2179638	1	50.83875	0.05140593	0.0983775	0.412419	0.960563	2.52864	0.127726	0.136774	0.0809416	0.469332	0.0780829	0.107143	0.2674728	0.8149009
27	0	-127.9677	-127.172	-0.795749	25.21918	1.073388	0.00775685	0.0158691	0.0713359	0.0441723	0.0927038	0.00601884	0.0848815	0.00600184	0.0424157	0.0270866	0.0052324	0.0301355	0.00919075	0.0151783	0.00418784	0.00607783	0.00813334	0.0152265	0.0297137	0.052216	0.00456906	0.0145451	0.02633495	0.05784913	0.0225575	0.0428728	0.0205693	0.0283368	0.0467711	0.035893	0.109714	0.051342	0.0342127	0.196296	0.0529329	0.284674	0.019221	0.0466508	0.00795642	0.1344804	3	55.90164	0.08290857	0.15136	0.497751	1.01117	2.33972	0.109926	0.168426	0.104697	0.464619	0.0410757	0.111257	0.1923295	0.6992187
28	0	-126.6471	-124.1552	-2.491932	10.84903	0.99908	0.0162492	0.00255183	0.0219891	0.013907	0.0954944	0.0201008	0.0779579	0.00082668	0.00429127	0.0923417	0.0169458	0.00501427	0.124681	0.0354021	0.0295701	0.00763497	0.0540748	0.0179149	0.0181044	0.0326637	0.00558899	0.00213034	0.02899967	0.03150787	0.1918	0.142658	0.0825664	0.000629719	0.0128075	0.0133914	0.16934	0.144158	0.01005	0.0558008	0.0217551	0.0983809	0.000222075	0.0339382	0.0225022	0.283155	2	54.34655	0.04217977	0.13677	0.476475	0.999847	2.38691	0.166093	0.13417	0.0627193	0.464121	0.0738485	0.0990486	0.3146629	0.8998678
29	0	-138.2298	-124.7575	-13.47229	10.77064	1.156315	0.0295173	0.053516	0.0358997	0.140431	0.00298502	0.0286545	0.0871617	0.0388507	0.0201532	0.0170917	0.227749	0.0446667	0.0424799	0.0642901	0.0729001	0.0355323	0.033875	0.0339185	0.0940775	0.0580246	0.00722262	0.0171457	0.07794467	0.06753481	0.0324049	0.027007	0.160251	0.0396881	0.0213522	0.0373141	0.12767	0.051351	0.0455886	0.0669454	0.205096	0.055528	0.0564396	0.0190527	0.0543109	0.1706321	2	51.10906	0.04744942	0.167047	0.519173	1.02174	2.29204	0.0771623	0.195797	0.0781758	0.433161	0.0531384	0.162566	0.2381669	0.7164392
