Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
21	0	-233.0695	-253.2682	20.19869	176.2538	1.764173	0.00439537	0.0845156	0.105978	0.0233974	0.061037	0.00615452	0.0460396	0.0107192	0.0166892	0.0146874	0.0045122	0.00486647	0.00770322	0.0115414	0.0226362	0.00996537	0.03828008	0.004199805	0.0110377	0.0113538	0.199237	0.167874	0.0345419	0.00330232	0.035806	0.0202918	0.20384	0.107051	0.0195846	0.0282929	0.00771053	0.0408245	0.109252	0.008209805	176.2538	0.263402	0.627339	1.06279	2.04647	0.28302	0.208874	0.130576	0.134809	0.15324	0.089482	0.01240961	0.6615684
22	0	-255.9847	-250.0953	-5.889429	12.29115	1.191647	0.207076	1.23478	0.00385949	0.315071	0.406586	0.375053	0.673146	0.103595	0.297596	0.720339	0.329838	0.454758	0.281704	0.140523	0.188556	0.264798	0.3390186	0.053264	0.0227735	0.098357	0.0276559	0.0022659	0.0520479	0.014826	0.00649871	0.0103605	0.0868722	0.00167569	0.0434348	0.0473027	0.482275	0.0726029	0.0310508	0.01873517	12.29115	0.173536	0.527643	1.0257	2.27313	0.229057	0.220227	0.139244	0.0892339	0.170816	0.151421	0.07199917	0.2602136
23	0	-230.0516	-249.516	19.4644	242.6947	0.7224188	0.00964643	0.0679852	0.0295608	0.00999664	0.109352	0.0163082	0.0295335	0.00653054	0.00828145	0.0375212	0.0149078	0.00300183	0.0244589	0.00749876	0.114424	0.0198377	0.04018489	0.01164403	0.00913791	0.0969045	0.0330631	0.00804441	0.0408127	0.00305028	0.00367642	0.00221897	0.315738	0.013787	0.0366253	0.0712521	0.0677995	0.240482	0.0574082	0.004235357	242.6947	0.0789819	0.373919	0.932901	2.6142	0.264395	0.297054	0.0990962	0.0670623	0.1752	0.0971931	0.01587938	0.2667205
24	0	-257.9535	-246.862	-11.09154	5.194489	6.243899	0.379328	0.578372	0.437306	0.591675	0.333147	0.219302	0.835089	0.138888	0.178427	0.159737	0.447899	1.08381	0.0740774	0.126817	0.397433	1.09619	0.3378221	0.1539227	0.00222169	0.0966465	0.0296664	0.0713371	0.0108152	0.0276615	0.0506898	0.00617318	0.143067	0.117971	0.185369	0.0153901	0.0563717	0.127871	0.0587479	0.1047296	5.194489	0.54676	0.82875	1.08071	1.54378	0.293624	0.191142	0.131184	0.059923	0.217923	0.106203	0.2586523	0.4049048
25	0	-219.0294	-250.1398	31.11038	136.5489	5.097441	0.00795955	0.0154766	0.0222806	0.00421091	0.00154026	0.00646435	0.0384956	0.0119692	0.00563573	0.0310008	0.0314577	0.0029236	0.00507367	0.0126404	0.0170748	0.0117707	0.01533278	0.007035012	0.064131	0.303165	0.0277872	0.0735396	0.0117052	0.00585002	0.0113634	0.00710045	0.157224	0.0194633	0.0793713	0.0024414	0.134876	0.0673941	0.0345878	0.002141696	136.5489	0.506075	0.806258	1.08313	1.60454	0.155237	0.275451	0.0936407	0.127479	0.146279	0.201913	0.009176709	0.2333839
26	0	-237.1191	-251.2166	14.09748	257.2852	1.138329	0.00285101	0.0213705	0.0234183	0.0268984	0.00071518	0.0612481	0.0115586	0.127516	0.00120929	0.0197117	0.00253222	0.00915455	0.117914	0.0179453	0.0924451	0.0118401	0.05990591	0.005620807	0.00859512	0.0553258	0.0575023	0.0620087	0.0314939	0.00461859	0.0113791	0.00184318	0.361673	0.107604	0.0726303	0.00863804	0.160364	0.0355867	0.0207373	0.001441179	257.2852	0.163699	0.514717	1.01961	2.30197	0.294609	0.219356	0.143951	0.0856908	0.138955	0.117438	0.007061986	0.2040756
27	0	-222.6911	-243.6462	20.95513	131.5384	2.078661	0.0344886	0.0138981	0.00193133	0.0126837	0.0100833	0.0219281	0.0243617	0.0709567	0.0567804	0.0487058	0.0432778	0.0025216	0.00122797	0.0311432	0.00361481	0.0360696	0.01962305	0.004994879	0.0426847	0.096299	0.0288879	0.0502721	0.0401327	0.135498	0.0222417	0.00129799	0.176051	0.0307473	0.106821	0.0175565	0.134322	0.098521	0.0186672	0.01134896	131.5384	0.302487	0.663126	1.07184	1.96255	0.223946	0.177471	0.0946317	0.0970971	0.25735	0.149503	0.01634384	0.6943877
28	0	-246.1795	-248.3488	2.169346	23.33043	5.444186	0.0688182	0.068463	0.604811	0.0406087	0.017974	0.248064	0.129483	0.0224937	0.0250609	0.103816	0.104957	0.089363	0.0142428	0.246342	0.09852	0.543634	0.1363981	0.03389092	0.042039	0.0344334	0.118295	0.0496294	0.00256004	0.0544904	0.122663	0.0339694	0.0201817	0.00645902	0.0306445	0.097996	0.184922	0.0913759	0.110341	0.02303242	23.33043	0.519542	0.81388	1.08245	1.58412	0.245947	0.229377	0.11887	0.0873942	0.180053	0.13836	0.05692334	0.4046217
29	0	-228.7253	-251.1811	22.45573	70.30894	1.623573	0.0475564	0.0508936	0.0173379	0.0416803	0.0222038	0.0109799	0.0589504	0.017173	0.0382743	0.105949	0.0122022	0.072824	0.0310072	0.0531479	0.0464745	0.0101305	0.03795848	0.02306538	0.0507605	0.123474	0.0142186	0.0603789	0.0118789	0.02928	0.067794	0.0010943	0.0494427	0.0468655	0.0240216	0.151516	0.0855008	0.282194	0.00158077	0.0003447279	70.30894	0.243796	0.607911	1.05692	2.09137	0.257838	0.180781	0.100455	0.0673838	0.247103	0.146438	0.02341011	0.0147256
30	0	-227.4649	-243.766	16.30111	63.97383	1.296502	0.0143206	0.124153	0.0111783	0.0883248	0.214493	0.0281689	0.0604159	0.0548683	0.0320329	0.0648591	0.0155669	0.0389242	0.027494	0.00613273	0.0580941	0.000550267	0.07537749	0.01924149	0.0574915	0.173846	0.0228144	0.0325911	0.00201601	0.0243687	0.0390749	0.000283136	0.187695	0.0989148	0.145995	0.0053187	0.182463	0.00639871	0.02073	0.0002973623	63.97383	0.192107	0.550763	1.03584	2.22129	0.264406	0.246843	0.101465	0.0981758	0.177473	0.111637	0.01953886	0.01521902
31	0	-218.93	-243.892	24.96202	73.19806	2.28175	0.0218765	0.0353741	0.0319763	0.00794947	0.0443522	0.00853739	0.00177098	0.0348113	0.02366	0.0910307	0.00551001	0.0219495	0.021082	0.0561644	0.0334153	0.0219019	0.01936751	0.0185916	0.0176518	0.111266	0.005978	0.0641577	0.00425622	0.0463074	0.00548508	0.00896482	0.301052	0.0411426	0.0494698	0.00845584	0.222087	0.113124	0.000602475	0.001230922	73.19806	0.324737	0.681979	1.07567	1.91761	0.309088	0.216486	0.0959196	0.0799466	0.216891	0.0816685	0.01982253	0.06209714
32	0	-235.064	-253.0651	18.00115	49.13071	2.038425	0.00795512	0.0595697	0.0609932	0.0229697	0.0255168	0.093079	0.000738354	0.00979765	0.00498798	0.0310884	0.0859974	0.0426264	0.0237112	0.0692854	0.112559	0.139948	0.06748506	0.01425034	0.00689743	0.0357062	0.0136869	0.0935885	0.131463	0.00915054	0.0371684	0.00158609	0.167558	0.071333	0.362963	0.0139622	0.0111237	0.0111646	0.0326474	0.01831488	49.13071	0.297819	0.659038	1.07092	1.97222	0.218673	0.273651	0.0820708	0.14281	0.210776	0.0720182	0.03256522	0.562406
33	0	-238.4352	-252.4854	14.05024	97.99255	1.027513	0.0090682	0.0283495	0.0336391	0.127038	0.0074141	0.0175005	0.0430569	0.0498051	0.15205	0.0332943	0.00343536	0.194294	0.11004	0.00451736	0.102402	0.0134544	0.05210196	0.01473351	0.0346843	0.119566	0.0276218	0.0294136	0.0276599	0.00237867	0.1124	0.0126744	0.159431	0.089259	0.0942887	0.130703	0.0354686	0.0763036	0.048147	0.007751466	97.99255	0.142411	0.484868	1.00441	2.36831	0.200187	0.294222	0.151022	0.120034	0.126894	0.107641	0.02248498	0.3447397
34	0	-243.3209	-248.8904	5.569575	45.78336	5.026787	0.114995	0.175893	0.0107224	0.102848	0.28013	0.129071	0.158274	0.10757	0.152804	0.0190355	0.0367474	0.00454753	0.0695993	0.154395	0.0664097	0.0854982	0.08736299	0.03187003	0.0196807	0.0713091	0.134016	0.109858	0.0322383	0.0141568	0.0297812	0.00027143	0.052085	0.0552904	0.0656052	0.0305075	0.299039	0.023794	0.0623677	0.01106473	45.78336	0.503186	0.804599	1.08325	1.60896	0.266167	0.206306	0.132497	0.0743036	0.16554	0.155186	0.04293476	0.2577103
35	0	-221.3162	-242.3002	20.98391	41.17771	1.693391	0.0220992	0.0726627	0.0236452	0.0435309	0.0300243	0.00934845	0.0592023	0.00984626	0.00341646	0.0328984	0.0268548	0.0326454	0.0445508	0.0238795	0.110878	0.00607043	0.02028056	0.001704783	0.0142582	0.164123	0.0542705	0.0240209	0.0174076	0.0269182	0.0388584	0.000832993	0.0800752	0.155229	0.137654	0.00855648	0.260574	0.00159541	0.0156258	0.03922536	41.17771	0.253712	0.617872	1.06001	2.0684	0.217753	0.275469	0.0904386	0.0829928	0.204329	0.129017	0.04093015	0.958349
36	0	-231.6598	-248.8764	17.21661	145.5116	2.672349	0.0307546	0.0423406	0.00681532	0.00783487	0.0418215	0.056321	0.0269184	0.0164952	0.0539383	0.0237741	0.0178456	0.000346161	0.0514609	0.0874311	0.0607144	0.0424375	0.04670837	0.003938865	0.0610771	0.0449188	0.100755	0.0501585	0.00306161	0.135408	0.0177829	0.00364725	0.0270855	0.233522	0.0480272	0.0204441	0.228684	0.00800197	0.0174262	0.009105192	145.5116	0.362211	0.711605	1.08034	1.84584	0.204943	0.207574	0.137616	0.0816991	0.147349	0.220819	0.01304406	0.6980337
37	0	-224.6143	-246.2108	21.59648	221.7392	0.8425393	0.00850336	0.0254449	0.00319832	0.0363064	0.0373114	0.0247965	0.111627	0.0186011	0.00506319	0.0251917	0.0174787	0.00565536	0.0394787	0.0297222	0.0872144	0.00722866	0.03309397	0.008382336	0.0844456	0.0563367	0.154306	0.0383521	0.00741907	0.0102697	0.00227703	0.00239575	0.106355	0.109931	0.0997497	0.15553	0.146319	0.0188689	0.00744439	0.007567541	221.7392	0.104573	0.423713	0.968079	2.50363	0.23712	0.170074	0.134003	0.0852306	0.255425	0.118147	0.01594988	0.4744576
38	0	-211.6692	-246.0364	34.36721	337.6977	4.018285	0.000950019	0.0173221	0.0109004	0.00756551	0.00954373	8.03509e-05	0.0163107	0.000342952	0.000682784	0.000337343	0.0192615	0.00319292	0.00120375	0.00185706	0.006991	0.01398	0.008306509	0.001176064	0.00977247	0.0617673	0.170984	0.0832258	0.00444077	0.0327924	0.00548162	0.00524472	0.111232	0.0109062	0.40178	0.0230277	0.0179433	0.0397389	0.0216631	0.001046444	337.6977	0.455364	0.775839	1.0844	1.6844	0.202802	0.289684	0.113426	0.071279	0.199403	0.123406	0.002222508	0.4708393
39	0	-232.9167	-244.0814	11.16468	55.37305	3.050252	0.00563342	0.213435	0.152155	0.0196153	0.108598	0.0661315	0.0646165	0.0226844	0.00377427	0.148575	0.106612	0.130501	0.00355425	0.00857995	0.0343056	0.0423702	0.05991448	0.006939791	0.0210408	0.0399582	0.129041	0.04235	0.00970155	0.0134163	0.00522224	0.0221875	0.207583	0.0805876	0.125788	0.0441364	0.138811	0.101107	0.0190696	0.02124542	55.37305	0.393112	0.734273	1.08275	1.78986	0.358021	0.201311	0.0857143	0.080636	0.174391	0.0999269	0.02818521	0.753779
40	0	-245.492	-250.3362	4.844167	24.33232	1.976352	0.0783882	0.0139835	0.385654	0.0858397	0.0510249	0.158079	0.0965751	0.0768085	0.113152	0.083911	0.171515	0.0541454	0.0764296	0.0354926	0.499079	0.594047	0.1295363	0.05406639	0.00498294	0.0681152	0.0203748	0.0127377	0.018477	0.0394063	0.0215171	0.00161483	0.422646	0.16342	0.0664927	0.0319431	0.0696065	0.0530209	0.00564462	0.0129171	24.33232	0.290435	0.652475	1.06939	1.9877	0.297181	0.125926	0.133187	0.0907411	0.287444	0.0655207	0.06698349	0.19284
41	0	-252.5933	-249.7912	-2.802063	31.25694	1.691664	0.12859	0.158051	0.0548349	0.0134574	0.157191	0.0118999	0.240665	0.0846262	0.480836	0.410593	0.331257	0.10324	0.0670225	0.0509443	0.977279	0.0664619	0.1777177	0.0603923	0.0486395	0.0737916	0.0683718	0.00311057	0.0041459	0.00411202	0.000891025	0.0115083	0.191582	0.0162876	0.404791	0.00282839	0.125219	0.0141739	0.0305481	0.02724558	31.25694	0.253471	0.617633	1.05994	2.06895	0.283511	0.231586	0.14261	0.0548168	0.153984	0.133493	0.08763787	0.3108881
42	0	-236.7012	-243.6861	6.984855	37.8786	2.304012	0.0206438	0.225276	0.278035	0.0396155	0.304434	0.123712	0.116333	0.0745045	0.0426217	0.0543807	0.295273	0.124607	0.116807	0.0120779	0.0754774	5.06868e-05	0.08718126	0.02668267	0.0404569	0.13636	0.0119909	0.0105935	0.0346026	0.0120763	0.0165942	0.0140563	0.249554	0.174733	0.22592	0.00758542	0.0373976	0.027292	0.000787381	0.009207948	37.8786	0.327051	0.683883	1.07602	1.91305	0.282448	0.172305	0.115807	0.101213	0.205929	0.122296	0.03589062	0.2565558
43	0	-227.2193	-247.2168	19.99749	51.72198	1.943631	0.0127155	0.0267005	0.174886	0.0584377	0.0105877	0.0120852	0.0161486	0.0557865	0.0506835	0.140806	0.00452498	0.0049316	0.0761813	0.0241085	0.0348008	0.00166924	0.04087683	0.01135095	0.0620704	0.0356334	0.149733	0.027882	0.00970748	0.0198736	0.0559752	0.00607537	0.108592	0.0451998	0.231516	0.00952869	0.203647	0.0289667	0.00559798	0.03401921	51.72198	0.286452	0.648882	1.06851	1.99615	0.296669	0.228716	0.100924	0.0718746	0.185036	0.116781	0.04537016	0.7498146
44	0	-260.932	-248.556	-12.376	34.8866	1.262975	0.116208	1.44888	0.593614	0.00914517	0.892387	0.100514	0.400617	0.0544003	0.0390212	0.356894	0.0639397	0.0267182	0.249157	0.147226	0.277463	1.41507	0.3208484	0.09036958	0.0191136	0.146482	0.0227119	0.00223114	0.0408825	0.0201651	0.0246959	0.0163928	0.106413	0.267562	0.145916	0.0363745	0.147322	0.00170247	0.00203532	0.06030427	34.8866	0.18628	0.543678	1.03283	2.23721	0.169231	0.193593	0.0782321	0.111074	0.25686	0.19101	0.1506739	0.4002305
