Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
27	0	-441.7611	-344.0151	-97.74597	11.24264	1.862038	0.08109128	0.041985	0.0562633	0.0543766	0.000512841	0.0246604	0.139589	0.055359	0.0384785	0.0208241	0.0747586	0.00205787	0.145615	0.105194	0.0492197	0.203078	0.0300123	0.5011353	7	13.82949	0.06820416	0.276231	0.639493	1.06612	2.01816	0.262008	0.30814	0.0709117	0.112535	0.158071	0.0883351	0.5431203	0.9226967
28	0	-449.3476	-336.383	-112.9646	15.99205	4.431352	0.06079323	-0.02599204	0.0628713	0.00472774	0.00311797	0.0454481	0.0272199	0.0128982	0.177964	0.0520238	0.0936817	0.104154	0.234049	0.0637787	0.0916878	0.0102997	0.0160785	0.4774581	6	20.30985	0.08006329	0.476595	0.788919	1.08412	1.65036	0.247075	0.281619	0.0602382	0.079913	0.136273	0.194881	0.451466	1.057573
29	0	-444.1287	-340.3882	-103.7405	11.12097	4.297655	0.08289145	-0.03108978	0.0859131	0.0222738	0.00749904	0.0153597	0.0491895	0.0562348	0.135639	0.0348748	0.0532533	0.0405251	0.194177	0.0378596	0.173184	0.0783638	0.0156539	0.5788283	6	11.43773	0.1656412	0.470002	0.784912	1.08425	1.66084	0.320867	0.194437	0.121193	0.0830734	0.141882	0.138548	0.5477385	1.05676
30	0	-448.2205	-343.8086	-104.4119	12.25839	4.189786	0.1343357	0.2030549	0.0542828	0.00910563	0.0212	0.0198871	0.325038	0.0103912	0.103934	0.0190994	0.0275717	0.0180171	0.176362	0.0139155	0.065787	0.114562	0.0208465	0.4084818	4	12.68909	0.1029487	0.464494	0.781527	1.08433	1.66965	0.282229	0.295377	0.0872104	0.0600463	0.180218	0.0949196	0.6115367	0.6679596
31	0	-441.2167	-335.899	-105.3177	15.65151	1.822424	0.08438417	-0.03632161	0.0915416	0.0653196	0.0017437	0.00784554	0.12662	0.00428912	0.151521	0.0324746	0.0757151	0.027917	0.134775	0.0362552	0.161603	0.0525714	0.0298071	0.47653	10	21.58272	0.09116282	0.271115	0.634697	1.06484	2.02935	0.33088	0.199679	0.117967	0.0691456	0.190107	0.0922217	0.4402084	1.08251
32	0	-458.492	-347.6598	-110.8322	17.79599	2.011866	0.09179125	0.1258053	0.0927222	0.0372671	0.0530165	0.0382066	0.134146	0.0114199	0.0242607	0.0273627	0.0611706	0.0216634	0.0109906	0.0910857	0.200741	0.0599807	0.135966	0.237959	5	20.75875	0.09830378	0.294687	0.65627	1.07028	1.97876	0.218258	0.290155	0.137227	0.0739181	0.168668	0.111774	0.3637643	0.6541571
33	0	-437.5218	-330.8366	-106.6852	15.40821	1.949317	0.1003406	0.1365981	0.168403	0.0274432	0.00257115	0.0918103	0.0342957	0.0218061	0.194462	0.010794	0.115531	0.0570994	0.129132	0.0437798	0.0449045	0.0478801	0.0100872	0.2651307	12	15.54941	0.1006837	0.287149	0.649514	1.06867	1.99467	0.211219	0.255472	0.130991	0.077503	0.194981	0.129834	0.4017289	0.6599743
34	0	-457.0547	-344.6313	-112.4234	14.76776	4.943001	0.07006866	0.02997489	0.0609039	0.0729183	0.066754	0.0226538	0.0988645	0.00107054	0.0811482	0.0163774	0.128824	0.101803	0.0911632	0.121908	0.0369629	0.0693186	0.0293301	0.4068467	6	23.76523	0.06416446	0.499693	0.802582	1.0834	1.61433	0.207704	0.363162	0.139371	0.0940922	0.114788	0.0808825	0.4368216	0.9313796
35	0	-439.5266	-347.5445	-91.98215	8.424582	3.427338	0.1333361	0.1658604	0.0844621	0.0396999	0.0969014	0.0294922	0.0590544	0.0320696	0.0557277	0.0174968	0.129906	0.0102556	0.141682	0.0471266	0.0574147	0.169019	0.0296914	0.5223563	9	9.663453	0.1629861	0.419839	0.752744	1.08394	1.74347	0.213712	0.351166	0.0893588	0.117447	0.16461	0.0637066	0.6882167	0.7589998
36	0	-445.8826	-338.8109	-107.0716	15.26334	4.844295	0.08993601	0.03250368	0.097517	0.0034881	0.0259234	0.0408252	0.157472	0.00983985	0.121702	0.0188485	0.0403571	0.00415844	0.200439	0.013657	0.156066	0.0598628	0.0498434	0.2891656	8	16.81546	0.08077466	0.495479	0.800131	1.08356	1.62083	0.27588	0.299995	0.119676	0.0820158	0.130922	0.0915104	0.3216693	0.8989531
