Iteration	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
2000	-138.1452	-124.9576	-13.18761	12.03155	0.8110684	0.0555591	0.223351	0.0357694	0.0173694	0.0284705	0.0785892	0.406588	0.00363947	0.113837	0.0149635	0.1353922	0.03962342	0.0749767	0.077845	0.00298591	0.18648	0.014875	0.040295	0.120215	0.074228	0.0365463	0.0765515	0.0851299	0.0256591	0.0387294	0.094032	0.0514514	0.0827146	0	55.26739	0.08718495	0.0979117	0.411552	0.959975	2.53056	0.050725	0.213288	0.131267	0.439215	0.0751798	0.0903257	0.122338	0.6761152
2100	-128.4356	-119.1917	-9.243948	19.8914	0.5945962	0.0826421	0.0849943	0.0264265	0.00536518	0.0548464	0.0680498	0.0615849	0.156015	0.030771	0.182432	0.07517748	-0.00566884	0.0472808	0.11549	0.0166445	0.0604005	0.0163846	0.000159905	0.0132424	0.0290102	0.00242	0.0238245	0.0553778	0.298116	0.182422	0.0323733	0.106853	0.1325033	0	64.15098	0.02170768	0.0519955	0.309255	0.878537	2.76021	0.128563	0.195727	0.0533567	0.495762	0.0352717	0.0913196	0.1268344	1.044695
2200	-140.6017	-118.7337	-21.86796	20.10849	0.44401	0.031813	0.0533404	0.0495187	0.597246	0.125395	0.253945	0.216854	0.13486	0.19489	0.0648405	0.2208268	-0.04847915	0.0482137	0.201688	0.083484	0.0849025	0.102063	0.0124607	0.0583818	0.106333	0.0021237	0.10896	0.00786312	0.000158105	0.0760177	0.0287142	0.0786359	0.1680519	0	65.36711	0.0291531	0.0235415	0.213803	0.774829	2.98783	0.0708871	0.219514	0.0834727	0.539592	0.0304502	0.0560843	0.1195727	1.405436
2300	-144.9838	-124.89	-20.09387	10.87331	0.1437461	0.0247363	0.368233	0.348446	0.00295175	0.114046	0.0831643	0.131241	0.179075	0.204236	0.490813	0.1936681	0.02664581	0.00124938	0.152644	0.0192925	0.0946849	0.0552615	0.0382809	0.00842182	0.0806022	0.171649	0.130277	0.0349589	0.119834	0.0469912	0.00225703	0.0435958	0.1338958	0	57.65173	0.05434399	3.55389e-05	0.00881419	0.22289	3.76826	0.0582936	0.229506	0.0370426	0.577046	0.0271393	0.0709728	0.1605417	0.8340256
2400	-135.8523	-118.093	-17.75932	13.81142	1.505599	0.380509	0.048692	0.0479511	0.104178	0.0586423	0.332925	0.115441	0.0530589	0.0681577	0.211702	0.1858355	-0.006157652	0.107664	0.00151718	0.0746763	0.0127101	0.0217372	0.0592674	0.0263904	0.0657489	0.0147587	0.165936	0.0571054	0.222399	0.0730335	0.0116635	0.0853929	0.1539686	0	58.98545	0.05157502	0.226186	0.589486	1.05075	2.13358	0.0905584	0.212775	0.0616272	0.445619	0.0672122	0.122208	0.1478109	1.041659
2500	-122.3323	-116.8351	-5.497195	20.06587	1.121192	0.0138349	0.0360577	0.0335136	0.0542637	0.0331602	0.0624439	0.0134403	0.0835626	0.000394627	0.0833436	0.02802068	0.0007898393	0.0180119	0.153985	0.0934554	0.115382	0.256155	0.0197503	0.129966	0.0764083	0.0124414	0.0641194	0.00689524	0.00118634	0.00716477	0.0181405	0.0269389	0.1213192	0	54.14152	0.04526851	0.160481	0.510376	1.0175	2.31164	0.117458	0.127439	0.0483912	0.567854	0.0555131	0.0833441	0.1221091	0.9935317
2600	-143.8423	-122.6772	-21.16513	9.42236	0.7490573	0.282269	0.188458	0.295496	0.123469	0.157743	0.0240696	0.12861	0.319763	0.0999416	0.0400261	0.2380203	0.0683988	0.103925	0.232002	0.0909925	0.136403	0.0246596	0.0245108	0.081904	0.0285178	0.0271463	0.198696	0.0129612	0.000188831	0.00398975	0.0198147	0.0142887	0.1686158	0	55.96269	0.01679512	0.0846828	0.385786	0.941774	2.58776	0.111136	0.187073	0.0392218	0.405052	0.103997	0.15352	0.2370146	0.7114153
2700	-138.8712	-121.8839	-16.98726	16.6046	0.3258562	0.235558	0.115781	0.0570713	0.0367995	0.10428	0.0273644	0.138242	0.147657	0.0661709	0.0208416	0.203618	-0.09802243	0.0904412	0.0215191	0.0281122	0.0933709	0.199784	0.00314507	0.0095855	0.0366059	0.0537409	0.050402	0.0863304	0.165111	0.0205039	0.0930296	0.0483179	0.2164667	0	58.23047	0.03957956	0.00762543	0.124701	0.636776	3.2309	0.0791613	0.149783	0.157001	0.460463	0.0825566	0.0710362	0.1184442	1.827583
2800	-128.7054	-116.9903	-11.71512	14.46078	0.546804	0.00484801	0.0685772	0.0248483	0.0614436	0.148501	0.116918	0.139161	0.132715	0.0678448	0.387923	0.06552475	0.01649763	0.126948	0.0172556	0.162128	0.00664447	0.0263386	0.112593	0.0530458	0.00778931	0.0430191	0.152441	0.0931411	0.0551526	0.0383572	0.0270778	0.0780683	0.08427055	0	50.59997	0.08773172	0.042357	0.281377	0.851548	2.82472	0.0521283	0.199329	0.066399	0.557045	0.0615604	0.0635386	0.1007682	0.8362814
2900	-140.0798	-119.0225	-21.05731	13.86508	0.4508158	0.308214	0.0803042	0.101413	0.1479	0.0562735	0.251823	0.0119579	0.155205	0.561849	0.0282184	0.1391105	-0.04539294	0.188796	0.0138116	0.171942	0.00235392	0.0159862	0.090769	0.0291563	0.0177445	0.0408633	0.134445	0.0374419	0.0799964	0.0435162	0.054762	0.0784151	0.1073908	0	71.083	0.03994161	0.0246756	0.2186	0.780897	2.97583	0.115286	0.13177	0.0933356	0.593217	0.0298013	0.0365897	0.06199784	1.73217
3000	-135.315	-122.4235	-12.89152	13.63543	0.6238296	0.0516972	0.297125	0.0733152	0.0662186	0.144317	0.017123	0.362017	0.0169425	0.0540321	0.0335317	0.08686176	-0.05673283	0.101184	0.0629453	0.0369522	0.000444722	0.161493	0.0283312	0.0178272	0.0645842	0.0671914	0.241922	0.0586319	0.00136798	0.00232788	0.12548	0.0293175	0.1390066	0	50.03469	0.06806014	0.0580571	0.325261	0.893006	2.72368	0.0319442	0.242045	0.0353462	0.527927	0.124536	0.0382019	0.08227372	1.689562
3100	-146.3732	-121.7864	-24.58676	17.00186	0.4527055	0.216878	0.316485	0.0492518	0.023086	0.0684231	0.613748	0.0701568	0.0413206	0.021757	0.319238	0.1230426	-0.003154345	0.0770103	0.0259997	0.0972423	0.099607	0.017655	0.0749301	0.0200277	0.0893802	0.0251955	0.189265	0.0851693	0.0684286	0.0147311	0.0363306	0.0790276	0.1333335	0	78.86051	0.02395901	0.0249938	0.219924	0.782553	2.97253	0.0628287	0.236105	0.100336	0.483795	0.0837461	0.0331893	0.1301792	1.024231
3200	-141.2389	-122.507	-18.73193	16.38866	0.5476552	0.199789	0.401251	0.0508992	0.271396	0.225422	0.0466639	0.138271	0.161171	0.0379286	0.111569	0.1755865	0.04971574	0.00187808	0.0134715	0.046469	0.0617915	0.170217	0.039086	0.021495	0.0866621	0.0956777	0.193679	0.0171456	0.174336	0.0159129	0.054197	0.00798144	0.1263207	0	50.70286	0.09927742	0.042525	0.281893	0.852069	2.82351	0.157944	0.22526	0.0427009	0.496511	0.0137938	0.0637903	0.1760364	0.7175826
3300	-136.9773	-126.0512	-10.92616	17.9851	3.419504	0.129064	0.114551	0.118077	0.0459005	0.00438163	0.0532709	0.0887721	0.00053186	0.0146469	0.0802513	0.0463129	0.003175871	0.122322	0.119624	0.111489	0.00824118	0.0265217	0.0735192	0.0136271	0.0772126	0.0129363	0.144013	0.0837141	0.0181276	0.0101215	0.015089	0.163443	0.1770659	0	51.15349	0.05485892	0.41932	0.752394	1.08393	1.74436	0.0393099	0.237938	0.0666301	0.382765	0.0421957	0.231161	0.1802417	0.9823799
