Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-343.343	-309.6983	-33.64469	19.29906	1.124118	0.070732	0.0916918	0.176085	0.0465141	0.341346	0.127534	0.0836246	0.474409	0.0188353	0.0158193	0.185958	0.0957324	0.0678434	0.0807516	0.0237684	0.171065	0.0560392	0.0397495	0.106299	0.0377415	0.0418597	0.233659	0.1356028	-0.01886631	0.0873752	0.102779	0.00836496	0.0319244	0.00875718	0.00429502	0.0696548	0.0251106	0.0297944	0.131824	0.205223	0.0671858	0.0336644	0.0898171	0.10423	0.1631316	2	75.7578	0.0393186	0.161032	0.511124	1.01787	2.30998	0.224731	0.226032	0.0888933	0.16472	0.187997	0.107627	0.1442653	1.130775
21	0	-344.3789	-306.502	-37.87686	16.63105	1.605399	0.224398	0.282844	0.0159966	0.0957648	0.277686	0.0366216	0.0176209	0.405476	0.00551234	0.0556314	0.756315	0.0316219	0.0310882	0.201802	0.248292	0.0339999	0.401739	0.256354	0.145309	0.132586	0.0209188	0.210739	0.1653704	-0.03565596	0.0634271	0.0242539	0.0686647	0.0466753	0.00844053	0.0557649	0.0241073	0.00159591	0.00394341	0.476486	0.0933031	0.0859422	0.0083961	0.0339194	0.00508064	0.2535562	2	59.21962	0.02838722	0.241155	0.605209	1.05606	2.09758	0.281546	0.22329	0.156975	0.0845804	0.146403	0.107205	0.2179003	1.163634
22	0	-337.4283	-304.4067	-33.02153	9.694166	3.59778	0.0897594	0.00608057	0.0639013	0.0313683	0.0922624	0.0261212	0.143499	0.0735404	0.00393336	0.0406254	0.120804	0.0452154	0.0463085	0.148359	0.0102005	0.177818	0.0262307	0.68806	0.0117504	0.173748	0.0656919	0.340097	0.08604144	0.1168153	0.0317781	0.0639451	0.0245489	0.000916165	0.00132773	0.0967317	0.0887129	0.0245672	0.0261501	0.200682	0.204834	0.0245982	0.0833863	0.0650946	0.0627261	0.1541803	0	52.57736	0.01607895	0.430802	0.760041	1.08421	1.72494	0.216782	0.243223	0.088086	0.0912211	0.195312	0.165377	0.2709956	0.5689402
23	0	-348.1001	-309.4303	-38.66978	25.36203	2.002761	0.573075	0.0197949	0.122205	0.0311178	0.0803801	0.102057	0.196809	0.209187	0.0382437	0.0994521	0.145835	0.00550713	0.240599	0.254192	0.0975243	0.27774	0.0871842	0.0313871	0.1432	0.174065	0.0717093	0.377337	0.101284	0.03687316	0.102839	0.111939	0.0214784	0.0365809	0.0561024	0.0154767	0.0286049	0.0301116	0.00160808	0.158785	0.0764568	0.022083	0.143711	0.0304339	0.163789	0.1424212	2	50.68479	0.03492257	0.293604	0.655307	1.07006	1.98103	0.22892	0.258628	0.106224	0.101048	0.178206	0.126974	0.1792943	0.7943429
24	0	-345.2791	-320.7392	-24.5399	14.56061	0.7001961	0.32764	0.0565437	0.0954194	0.0968335	0.22394	0.0197893	0.12381	0.143456	0.00468865	0.00787775	0.0299693	0.127276	0.10072	0.200794	0.133796	0.0189529	0.171789	0.142903	0.00926641	0.290703	0.0884524	0.0605579	0.1043265	0.02760843	0.12838	0.0463792	0.0213768	0.0370721	0.221843	0.097598	0.0822482	0.0418345	0.00098088	0.0190425	0.162907	0.0528606	0.0426794	0.0248432	0.0199539	0.2419286	2	50.14424	0.06802643	0.0742302	0.363623	0.924941	2.63721	0.149239	0.332248	0.108482	0.132716	0.14697	0.130345	0.269537	0.8975709
25	0	-331.2085	-305.2985	-25.91	17.34238	3.962602	0.056874	0.0656231	0.330436	0.00787182	0.0790214	0.0109995	0.0736237	0.0173483	0.00638098	0.164415	0.149295	0.0078017	0.130764	0.0704728	0.0402788	0.00277441	0.0906307	0.0476526	0.0316528	0.211186	0.013079	0.0309079	0.06804533	-0.001972081	0.0711359	0.00544857	0.0555406	0.0910807	0.0112382	0.0029658	0.0706717	0.0562123	0.00305797	0.166408	0.00875654	0.0847042	0.153146	0.128773	0.0908601	0.1607922	0	53.11223	0.03253928	0.452296	0.773906	1.08441	1.68939	0.190924	0.322161	0.19914	0.0794603	0.109119	0.0991962	0.1588202	1.012417
26	0	-336.1206	-312.6643	-23.45632	20.34529	1.106555	0.277573	0.0814036	0.0953017	0.0213958	0.00755564	0.012314	0.0232637	0.0912456	0.0196621	0.0118218	0.0485597	0.00655537	0.0106644	0.10853	0.0155667	0.0388869	0.00416923	0.167056	0.198876	0.120082	0.0725794	0.0532314	0.08552593	0.02655025	0.0468007	0.0989613	0.0493067	0.000175584	0.0118139	0.0461874	0.0442186	0.0269232	0.00458574	0.0434904	0.117386	0.0191147	0.189303	0.191385	0.110348	0.1888686	1	52.14376	0.02717137	0.157711	0.506593	1.01563	2.32006	0.13209	0.279926	0.141849	0.109401	0.170975	0.16576	0.2154189	0.8767506
27	0	-343.0427	-315.9608	-27.08188	14.25713	1.395624	0.141063	0.101035	0.533144	0.066753	0.207521	0.123028	0.0765026	0.206076	0.0248863	0.0778528	0.089363	0.0256859	0.101687	0.115199	0.016451	0.0683146	0.0773807	0.112765	0.0901708	0.0114564	0.11232	0.0304943	0.1038306	0.01511466	0.0702343	0.0239438	0.0237278	0.039422	0.000192217	0.0075613	0.0511055	0.0852579	0.0073453	0.279413	0.19067	0.00567872	0.12891	0.0333983	0.0531404	0.1070098	1	52.7508	0.05436124	0.208739	0.570208	1.04365	2.1774	0.134006	0.256257	0.127887	0.118946	0.197791	0.165114	0.1221245	0.8762357
28	0	-351.5044	-309.0194	-42.485	9.36058	1.706999	0.385843	0.231718	0.236741	0.100704	0.0964783	0.0691919	0.0928503	0.851735	0.0143467	0.180329	0.202319	0.00466063	0.00144928	0.0429555	0.183589	0.000690165	0.0666189	0.0881388	0.00264429	0.241213	0.865063	0.181434	0.2725157	0.09012775	0.0725607	0.0452731	0.192793	0.0459365	0.0195071	0.0110519	0.0371304	0.0665251	0.00919596	0.0228284	0.16294	0.011333	0.238492	0.0585446	0.00588869	0.09114722	3	57.34532	0.09193837	0.255602	0.61974	1.06057	2.06408	0.18769	0.247191	0.169808	0.0910467	0.169363	0.134902	0.181275	0.5028119
29	0	-366.9542	-313.4856	-53.46853	16.72651	1.855287	0.0853402	0.390986	0.670184	0.254409	0.070256	0.00470298	0.275905	0.959671	0.0631311	0.197575	0.83657	0.0046633	0.00162117	0.0992508	0.438479	0.0707766	0.151012	0.409494	0.364458	0.28823	0.0522652	0.142774	0.2899854	-0.1372028	0.117576	0.0041518	0.0455198	0.0111011	0.0114967	0.0182962	0.107963	0.0129888	0.0326744	0.0822749	0.122832	0.0133005	0.277806	0.0427921	0.0992266	0.2895981	1	54.99399	0.0195137	0.275366	0.638687	1.06591	2.02004	0.181908	0.264327	0.103227	0.124594	0.140691	0.185253	0.1523952	1.900309
