Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	origin_time	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-212.9392	-219.6839	6.744728	13.97145	3.975561	0.0316782	0.0254581	0.196613	0.0392508	0.0808511	0.311754	0.00594028	0.121976	0.0897112	0.0294868	0.301946	0.0453747	0.100079	0.286742	0.2656405	0.02180657	0.00997808	0.224583	0.0441875	0.154318	0.00262245	0.00260606	0.000608693	0.000546007	0.241486	0.0691158	0.0386296	0.00127226	0.111756	0.0932344	0.00505601	0.02531004	13.97145	0.453015	0.77436	1.0844	1.68822	0.129093	0.226031	0.220486	0.0513938	0.247116	0.125881	0.04711661	0.5371787
21	0	-209.6579	-217.0855	7.427604	8.922453	3.563588	0.117149	0.063124	0.0316157	0.204105	0.118035	0.130416	0.458943	0.168867	0.143157	0.0694358	0.504425	0.0228431	0.361212	0.213394	0.2126032	0.2211139	0.000435161	0.109673	0.0355179	0.137889	0.00460645	0.00971381	0.00636927	0.00297686	0.163125	0.0984539	0.247244	0.00352581	0.0579424	0.112399	0.0101278	0.04416574	8.922453	0.428653	0.758623	1.08417	1.72855	0.160083	0.181353	0.213274	0.0629521	0.31592	0.0664171	0.2652797	0.1664875
22	0	-215.5805	-227.1429	11.56237	14.70895	1.888942	0.0510459	0.108128	0.285307	0.104968	0.268784	0.0559059	0.141001	0.0849828	0.110651	0.258038	0.0187685	0.0406098	0.0780306	0.67589	0.1576397	0.09295609	0.00822807	0.00710034	0.00249296	0.100063	0.00662726	0.00402089	0.0519897	0.0111563	0.302267	0.0333236	0.31163	0.0132813	0.0648371	0.0704812	0.0125013	0.004415197	14.70895	0.279647	0.642659	1.06694	2.01075	0.110857	0.191942	0.189811	0.0895442	0.361944	0.0559005	0.09737129	0.04534393
23	0	-198.3725	-214.7614	16.38883	18.18154	5.962595	0.211688	0.01723	0.118047	0.0211112	0.11418	0.0995942	0.122591	0.095501	0.0282048	0.000778959	0.140593	0.0703234	0.0252852	0.0265563	0.0711739	0.03901766	0.00369093	0.079608	0.166004	0.251347	0.0124057	0.00205709	0.0426525	0.00896916	0.154386	0.00481432	0.115344	0.00399807	0.0901379	0.0559932	0.00859252	0.02333973	18.18154	0.537732	0.823895	1.08134	1.55703	0.134486	0.200613	0.228678	0.0480973	0.304738	0.0833889	0.06235739	0.3742898
24	0	-199.4872	-221.4221	21.93489	87.07105	2.27159	0.00384002	0.0488928	0.00168754	0.0240922	0.00549867	0.0490391	0.0335539	0.0441421	0.00314302	0.0513963	0.147226	0.00414863	0.0189793	0.024814	0.02674782	0.005631796	0.00433957	0.0379719	0.018806	0.311644	0.0109843	0.023032	0.0413421	0.00121774	0.158034	0.030777	0.155182	0.00831423	0.0530819	0.119657	0.0256156	0.0137675	87.07105	0.323673	0.6811	1.07551	1.91972	0.157192	0.138713	0.2367	0.0721354	0.290286	0.104973	0.0193993	0.7096907
25	0	-198.7237	-223.5836	24.85993	36.58157	5.299574	0.0212163	0.0208247	0.0484828	0.0453531	0.0558158	0.048668	0.0274456	0.0136996	0.0345033	0.0644766	0.09323	0.0148399	0.0121358	0.0114777	0.04840978	0.0466175	0.0370962	0.0706049	0.141156	0.162346	0.045393	0.00552858	0.0572004	0.0215102	0.117532	0.119607	0.0847594	0.000126232	0.0163818	0.1093	0.0114581	0.0003981529	36.58157	0.514063	0.810801	1.08274	1.59239	0.201174	0.16214	0.234515	0.0498483	0.283975	0.0683472	0.04701566	0.008468518
26	0	-192.3799	-223.0115	30.63163	58.17449	2.959011	0.00182592	0.000389506	0.0117462	0.126852	0.00811057	0.00154006	0.0379844	0.00448021	0.00132932	0.0458051	0.0206522	0.0310219	0.013709	0.0188817	0.02099123	0.01931501	0.00565019	0.0153307	0.0960497	0.261872	0.014021	0.0196289	0.0320752	0.020033	0.148017	0.0021711	0.25836	0.0283233	0.0628148	0.0311742	0.00447881	0.003268911	58.17449	0.386066	0.729233	1.08231	1.8024	0.125112	0.131369	0.23026	0.0851982	0.297241	0.13082	0.02258392	0.1447451
27	0	-209.8851	-221.5875	11.70238	17.13236	2.096032	0.0708154	0.0548263	0.191856	0.23884	0.10044	0.00716918	0.181412	0.0316298	0.0947071	0.0730499	0.242908	0.0096948	0.0553316	0.267999	0.1268733	0.1136948	0.00101231	0.00589332	0.122666	0.112638	0.00318148	0.00361224	0.038134	0.00552237	0.383391	0.00570774	0.216907	0.00117641	0.096896	0.00236255	0.000899877	0.01177231	17.13236	0.304475	0.664852	1.07222	1.95846	0.117517	0.161866	0.223684	0.0702668	0.354543	0.0721225	0.1254671	0.0938279
28	0	-200.2652	-220.8988	20.63364	26.12272	6.415061	0.00720744	0.0161008	0.0529639	0.00104885	0.00430717	0.0398154	0.177534	0.0338881	0.0282834	0.0116089	0.0146264	0.122533	0.0649792	0.0823767	0.06687383	0.03409674	0.0273008	0.217903	0.0330417	0.171841	0.00534432	0.00912398	0.087378	0.00880655	0.104967	0.0380201	0.0879689	0.00178783	0.118344	0.0836531	0.00451993	0.002422248	26.12272	0.551997	0.831532	1.08031	1.53616	0.143459	0.176867	0.165413	0.0493454	0.298545	0.166371	0.03651899	0.06632844
29	0	-203.1712	-217.6962	14.52493	10.21203	4.191278	0.0321527	0.133789	0.137335	0.0368807	0.046536	0.435648	0.355339	0.00101668	0.00236099	0.00964158	0.114828	0.290884	0.10463	0.0104042	0.09814223	0.09882791	0.0137105	0.136018	0.0654194	0.312169	0.00295457	0.00134969	0.0247095	0.00790031	0.185287	0.041855	0.127683	0.00204198	0.062539	0.000428447	0.0159348	0.005863793	10.21203	0.464571	0.781574	1.08433	1.66953	0.12377	0.265789	0.262241	0.0511593	0.20004	0.0970006	0.1046917	0.0560101
