Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_extant	alpha_song	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er[8]	er[9]	er[10]	er[11]	er[12]	er[13]	er[14]	er[15]	extinction_rate	num_samp_anc	origin_time	psi	rates_song[1]	rates_song[2]	rates_song[3]	rates_song[4]	sf[1]	sf[2]	sf[3]	sf[4]	sf[5]	sf[6]	speciation_rate	turnover
20	0	-112.3542	-126.0929	13.73865	4.884638	1.652555	0.0515754	0.0570933	0.0349131	0.00719129	0.01247	0.00147119	0.00870752	0.00496959	0.0114508	0.0333023	0.0109268	0.100935	0.00668661	0.0195995	0.213256	0.00889637	0.0567363	0.0283764	0.0160289	0.0106883	0.171042	0.000948633	0.02666253	0.2445565	0.0313128	0.150497	0.101173	0.0560914	0.0105245	0.00953714	0.0861087	0.074389	0.0281081	0.153664	0.0385295	0.0133499	0.113603	0.0841098	0.0490017	0.3041129	2	5.997191	0.2064213	0.247956	0.612125	1.05825	2.08167	0.116525	0.274266	0.0647593	0.370367	0.03492	0.139162	0.5486695	0.5542735
21	0	-122.9402	-124.8228	1.882572	5.374899	1.907281	0.061023	0.0707553	0.0999714	0.0325636	0.0846947	0.0252844	0.0235443	0.0258797	0.0512795	0.110569	0.112479	0.0627821	0.00683625	0.00907872	0.0931585	0.19151	0.208769	0.0542164	0.00300161	0.0188503	0.0451312	0.0178544	0.07515264	0.1734877	0.00995672	0.064257	0.108297	0.0578638	0.00842188	0.121773	0.0587713	0.02094	0.0339255	0.133808	0.0419032	0.188292	0.104669	0.0114476	0.0356734	0.2035797	2	7.43039	0.3000885	0.28195	0.644777	1.06749	2.00579	0.121235	0.21428	0.0720322	0.44261	0.052674	0.0971683	0.3770674	0.5399027
22	0	-111.4507	-117.7616	6.310879	4.835026	2.067191	0.0058104	0.0287443	0.124884	0.0429744	0.0647016	0.0155148	0.00841436	0.086001	0.0387725	0.147012	0.2106	0.0175404	0.0404843	0.023416	0.0277915	0.00368599	0.073856	0.0355867	0.105513	0.0384163	0.0803573	0.261309	0.08006385	0.1869689	0.0882517	0.0231097	0.124653	0.0918739	0.00615939	0.029502	0.0285607	0.00435587	0.00189561	0.382395	0.0366963	0.0631757	0.00898805	0.0184174	0.0919659	0.3126456	3	8.361755	0.2798241	0.301166	0.661974	1.07158	1.96528	0.0421574	0.236433	0.0497554	0.465214	0.0898864	0.116554	0.4996145	0.6257736
23	0	-97.77708	-127.4194	29.64237	5.436374	1.214664	0.0095532	0.00497818	0.0498408	0.00693875	0.00606263	0.0336054	0.0432728	0.0302712	0.00301449	2.00811e-05	0.0660606	0.0103709	0.0245236	0.0161529	0.023215	0.00572948	0.0130059	0.00285218	0.0344003	0.0475269	0.0607248	0.0288993	0.02453792	0.2152126	0.051566	0.212748	0.0735794	0.03586	0.000863896	0.0768958	0.0730486	0.0146168	0.00271619	0.111208	0.00593073	0.0815928	0.110748	0.0163029	0.132323	0.2623205	4	5.574888	0.2304193	0.1777	0.532968	1.02812	2.26122	0.047616	0.357259	0.0557252	0.372684	0.0776442	0.0890723	0.4775331	0.5493242
24	0	-100.0862	-124.5501	24.4639	5.829567	1.635593	0.00250753	0.0241365	0.0367852	0.0022042	0.00581939	0.0229962	0.0223703	0.00857393	0.0233211	0.00150414	0.0032884	0.00998728	0.0241236	0.0194102	0.0201521	0.000941645	0.000341551	0.0227353	0.0246658	0.108403	0.0402608	0.0770569	0.02391006	-0.1783799	0.0241042	0.215675	0.069671	0.0450194	0.0309567	0.0716601	0.0545344	0.00262674	0.0057944	0.15264	0.074687	0.0510794	0.0318872	0.00794943	0.161715	0.5474623	3	9.696965	0.1554801	0.245529	0.609673	1.05748	2.08731	0.0843005	0.35783	0.104474	0.263987	0.0667125	0.122696	0.3690824	1.483306
25	0	-123.8911	-126.7946	2.903506	4.417124	1.766184	0.0110437	0.0314303	0.0422976	0.0325776	0.168172	0.0883891	0.00349947	0.446005	0.000545868	0.049888	0.0754736	0.127838	0.0547559	0.169462	0.0054178	0.0188025	0.0136561	0.0154195	0.252553	0.104639	0.00949522	0.00416938	0.07696236	0.09734041	0.0083869	0.105167	0.072841	0.00746373	0.0115789	0.24156	0.0263117	0.138585	0.00947501	0.0225992	0.282194	0.000872482	0.00971779	0.00523103	0.0580158	0.3006768	3	7.39793	0.2477886	0.263672	0.6276	1.06286	2.04586	0.102522	0.253231	0.0666977	0.459038	0.0153108	0.1032	0.3980172	0.7554367
26	0	-106.5022	-120.6412	14.13903	6.285931	3.094946	0.0113596	0.0466989	0.00691883	0.0377888	0.0264316	0.0110799	0.0181376	0.166543	0.00959484	0.0233838	0.0066144	0.0197827	0.105931	0.0193784	0.0161261	0.0497598	0.02266	0.0437198	0.0801151	0.100592	0.00867091	0.111473	0.05836332	0.03902811	0.0209376	0.200956	0.127114	0.0406071	0.188371	0.0836829	0.0826723	0.0092385	0.0093052	0.120397	0.000181261	0.0535735	0.0439974	0.000169767	0.0187972	0.5267633	4	6.957242	0.2458171	0.396476	0.736653	1.08295	1.78392	0.0848526	0.178612	0.0359333	0.460261	0.0886285	0.151712	0.5657914	0.9310203
27	0	-114.2329	-120.3005	6.067607	5.015676	4.687348	0.00246516	0.0800085	0.0648319	0.0207	0.0132228	0.0494244	0.0281853	0.237664	0.013845	0.0811232	0.0139485	0.0121409	0.00451057	0.173422	0.0988309	0.0014997	0.0109242	0.00783493	0.0910631	0.105069	0.0486728	0.148252	0.06429305	0.0110071	0.0213971	0.0560681	0.279028	0.018733	0.0698845	0.119762	0.0646174	0.0752501	0.0695799	0.172733	0.022201	0.00932152	0.0129602	0.000293794	0.00817102	0.4132993	2	5.435452	0.3522728	0.48855	0.796062	1.0838	1.63159	0.104868	0.198162	0.077335	0.418834	0.054188	0.146612	0.4243064	0.9740586
28	0	-119.5207	-122.2594	2.738716	5.380456	2.462292	0.00113619	0.00973077	0.0533294	0.0234759	0.0101505	0.0595948	0.0282441	0.0207343	0.0469326	0.0298453	0.11206	0.0958729	0.00785843	0.0640233	0.034619	0.0159224	0.0132165	0.0862294	0.00433008	0.25894	0.219483	0.00756279	0.05563596	-0.001407767	0.0725471	0.0920649	0.145986	0.0470801	0.0748688	0.0684819	0.10377	0.00431896	0.000126766	0.15134	0.00968393	0.00263462	6.0856e-05	0.0100556	0.21698	0.3895868	2	8.075676	0.1977803	0.342852	0.696614	1.07819	1.88235	0.0846117	0.275098	0.0922426	0.432548	0.0741846	0.0413155	0.388179	1.003627
29	0	-126.3961	-123.2017	-3.194425	3.765624	0.9379056	0.0340647	0.100429	0.172293	0.00681946	0.272586	0.0119747	0.261568	0.195231	0.074068	0.00994063	0.249279	0.0150489	0.084256	0.00201669	0.00600951	0.0172206	0.1036	0.163283	0.0418676	0.523004	0.0787558	0.0347201	0.1325145	-0.01215137	0.0353436	0.0123502	0.0387824	0.0884861	0.0268063	0.0129545	0.0602646	0.0169962	0.0482981	0.514097	0.0170492	0.0196844	0.0098758	0.00832287	0.0906888	0.400733	5	3.832739	0.5568086	0.124404	0.457258	0.988898	2.42944	0.132588	0.240012	0.0240652	0.444758	0.0658046	0.092772	0.3885816	1.031271
30	0	-110.4131	-123.988	13.57493	5.955879	0.4629623	0.000494698	0.0175906	0.0111869	0.00556626	0.0215825	0.0330299	0.0787444	0.137733	0.00693544	0.225562	0.0885107	0.0180631	0.061344	0.132438	0.0122556	0.00564552	0.000184246	0.155879	0.0538524	0.0290853	0.0126301	0.00152343	0.04703845	-0.1005914	0.0908531	0.0225783	0.333392	0.0127874	0.0761479	0.0636422	0.056182	0.0345546	0.0227278	0.150928	0.0767545	0.0303289	0.0102794	0.0131874	0.0056565	0.5212464	2	7.777708	0.2997245	0.0267459	0.22705	0.791329	2.95488	0.0635685	0.24291	0.0445393	0.445179	0.131538	0.0722646	0.420655	1.23913
31	0	-114.4819	-122.9868	8.504984	4.75751	1.49186	0.0497613	0.00419514	0.150595	0.0443559	0.0229561	0.172037	0.0444087	0.0253027	0.0136439	0.0199582	0.2422	0.019737	0.133381	0.00848218	0.0144471	0.00309105	0.0103846	0.101527	0.198926	0.0561457	0.00197076	0.043802	0.09588962	0.1067398	0.0928097	0.0865571	0.0554287	0.00305757	0.00283062	0.0371803	0.0237841	0.0852477	0.00311416	0.181665	0.0130303	0.332117	0.0354694	0.00482375	0.0428847	0.478494	3	5.093942	0.2940635	0.224062	0.587196	1.04994	2.1388	0.130519	0.242043	0.0838467	0.450002	0.0245163	0.0690726	0.5852338	0.8176117
32	0	-118.1893	-121.1727	2.983315	6.770683	2.4745	0.0358063	0.0340077	0.0493473	0.00258592	0.135969	0.0345855	0.0721465	0.101657	0.039957	0.0507564	0.268741	0.000982096	0.0236684	0.0117836	0.0525074	0.163419	0.0112172	0.0394281	0.0781303	0.00202089	0.0254489	0.000840656	0.04707547	-0.05124751	0.00913541	0.0478519	0.314968	0.00981716	0.0194895	0.0328557	0.126724	0.0169926	0.0185723	0.2361	0.00841963	0.0615961	0.0488755	0.00058386	0.048019	0.435186	3	9.094364	0.1434285	0.344026	0.697541	1.07833	1.8801	0.105271	0.196038	0.0559942	0.478826	0.0138978	0.149973	0.3839385	1.133478
33	0	-132.6541	-121.1552	-11.49893	5.543283	1.55146	0.00616758	0.143696	0.024962	0.0871659	0.192757	0.036688	0.114113	0.535363	0.00364938	0.0298137	0.141068	0.0482084	0.110158	0.0925777	0.0315192	0.0479845	0.0237252	0.323602	0.360233	0.00394165	0.0143537	0.249993	0.13694	-0.05444871	0.0430292	0.198597	0.122768	0.0178172	0.0775306	0.00711095	0.0224873	0.00214242	0.0272839	0.367019	0.0555444	0.0145958	0.00188108	0.0228107	0.0193828	0.7175994	4	11.6628	0.1959421	0.233164	0.596904	1.05331	2.11663	0.0907681	0.391684	0.0445819	0.377693	0.0526088	0.0426642	0.6631507	1.082106
