Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
5,8,2,2,13,17,7,7,0,0,4,5,19,0.2621519,1.704744,0.3642677
6,8,2,2,12,14,5,5,1,1,5,6,18,0.2483545,0.8709514,0.2979798
1,6,1,2,12,17,20,6,0,0,1,5,23,0.3173418,0.02055393,0.3188131
4,6,2,2,11,17,10,6,0,0,2,3,20,0.2759494,0.5516587,0.3106061
2,6,1,3,12,15,14,11,0,0,2,3,22,0.3035443,0.3602838,0.3282828
3,6,2,3,15,18,11,8,2,2,2,4,21,0.2897469,1.882513,0.4135101
3,6,1,3,11,18,13,11,0,0,3,4,21,0.2897469,-0.2876862,0.2708333
4,8,2,4,13,15,16,9,0,0,2,4,20,0.2759494,-0.2020262,0.2632576
4,9,2,3,11,16,11,9,0,0,3,4,20,0.2759494,-0.2522718,0.260101
3,7,1,2,12,17,11,8,0,0,3,5,21,0.2897469,-0.03801726,0.2872475
4,9,1,3,9,15,12,6,0,0,4,7,20,0.2759494,-0.2020262,0.2632576
5,14,2,4,8,15,9,3,0,0,3,6,19,0.2621519,-0.9089994,0.207702
3,8,1,2,12,15,9,4,1,1,3,6,21,0.2897469,0.08681722,0.2954545
4,7,2,2,14,19,11,7,1,1,3,5,20,0.2759494,0.2803321,0.2935606
6,10,4,4,9,14,7,7,0,0,3,4,18,0.2483545,-0.9350699,0.1950758
2,5,2,2,14,18,17,13,0,0,1,3,22,0.3035443,-0.108623,0.2960859
1,9,1,2,13,19,17,7,1,1,1,6,23,0.3173418,0.1087464,0.3251263
2,7,1,2,12,18,12,7,0,0,2,5,22,0.3035443,0.5809458,0.3434343
3,7,1,3,13,18,7,7,0,0,3,3,21,0.2897469,0.3172809,0.3106061
1,5,1,2,13,17,13,8,0,0,1,4,23,0.3173418,0.5232507,0.354798
2,7,1,3,12,16,12,8,0,0,2,4,22,0.3035443,-0.6694723,0.2575758
1,7,1,2,14,18,12,7,0,0,1,5,23,0.3173418,-0.005903796,0.3169192
0,2,0,2,16,20,24,14,2,2,0,1,24,0.3311393,0.631081,0.3781566
2,6,1,2,14,18,12,6,0,0,2,5,22,0.3035443,0.8567733,0.3623737
2,5,1,3,13,19,13,12,0,0,2,3,22,0.3035443,0.2867298,0.3232323
3,9,1,3,10,16,7,5,0,0,3,5,21,0.2897469,-0.7294083,0.2417929
4,9,2,4,11,16,12,8,1,1,3,4,20,0.2759494,0.2501847,0.2916667
1,3,1,2,15,21,17,14,1,1,1,2,23,0.3173418,1.184694,0.4021465
5,10,3,3,10,15,10,5,0,0,3,6,19,0.2621519,-0.856303,0.2108586
4,9,2,2,10,14,8,4,0,0,3,6,20,0.2759494,-0.3125666,0.2563131
2,6,1,2,14,18,11,9,1,1,2,4,22,0.3035443,0.4522263,0.334596
5,10,1,3,12,15,9,5,0,0,5,7,19,0.2621519,-0.1501707,0.2531566
0,3,0,2,15,18,24,13,1,1,0,2,24,0.3311393,0.3853441,0.3598485
4,9,1,2,11,15,7,4,0,0,4,7,20,0.2759494,-0.2321736,0.2613636
3,8,1,2,13,19,12,4,2,2,3,7,21,0.2897469,0.4421154,0.3188131
7,10,3,3,8,12,6,4,0,0,4,6,17,0.234557,-0.7420738,0.1944444
2,7,1,2,14,18,12,6,0,0,2,5,22,0.3035443,0.5717515,0.342803
2,4,1,2,12,17,11,8,0,0,2,3,22,0.3035443,-0.586724,0.2632576
2,8,1,2,12,17,13,4,0,0,2,5,22,0.3035443,0.08445627,0.3093434
3,9,2,4,11,17,9,6,0,0,2,4,21,0.2897469,-0.1916597,0.2771465
