Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Segregating-Sites,Theta,Tajima-D,Tajima-Pi
1,25,1,4,10,40,59,10,0,0,1,11,60,0.2073417,-2.703333,0.04111759
0,23,0,5,13,40,61,8,0,0,0,16,61,0.2107974,-2.580599,0.04961381
1,25,1,9,12,40,59,13,0,0,1,12,60,0.2073417,-2.345589,0.06311475
0,26,0,5,12,40,61,7,0,0,0,16,61,0.2107974,-2.449998,0.05777112
0,23,0,3,12,40,61,8,0,0,0,15,61,0.2107974,-2.552333,0.05137926
0,21,0,3,14,40,61,11,0,0,0,13,61,0.2107974,-2.715238,0.04120429
0,24,0,5,13,40,61,14,0,0,0,12,61,0.2107974,-2.64407,0.04564943
0,21,0,8,12,40,61,15,0,0,0,10,61,0.2107974,-2.494162,0.05501261
0,21,0,2,11,40,61,8,0,0,0,18,61,0.2107974,-2.630568,0.04649275
0,25,0,4,13,40,61,9,0,0,0,16,61,0.2107974,-2.621735,0.04704445
0,29,0,5,12,40,61,7,0,0,0,13,61,0.2107974,-2.433215,0.05881936
0,27,0,5,11,39,61,9,0,0,0,14,61,0.2107974,-2.70426,0.04188997
0,15,0,3,12,40,61,21,0,0,0,11,61,0.2107974,-2.426149,0.05926072
0,23,0,5,12,40,61,7,0,0,0,14,61,0.2107974,-2.600915,0.04834489
0,21,0,5,13,40,61,18,0,0,0,13,61,0.2107974,-2.485203,0.05557219
1,23,1,6,13,40,47,10,0,0,1,13,60,0.2073417,-2.274835,0.06746532
1,29,1,9,14,40,41,8,0,0,1,12,60,0.2073417,-2.536318,0.05138714
1,24,1,4,15,40,35,19,0,0,1,12,60,0.2073417,-2.616044,0.04648487
2,13,1,3,14,39,31,23,0,0,2,8,59,0.203886,-2.299693,0.06471469
0,24,0,4,12,40,61,5,0,0,0,15,61,0.2107974,-2.5488,0.05159994
